GEOID,B11001_003M,B11001_004M,B11001_009M,B11001_008M
g361031471003,44,17,11,24
g361031472001,144,118,11,98
g361031472002,48,73,24,103
g361031472003,96,98,11,85
g361031472004,68,38,29,32
g361031472005,32,69,41,116
g361031473001,100,119,33,47
g361031473002,11,94,11,69
g361031473003,82,70,40,80
g361031473004,119,116,32,25
g361031473005,122,130,41,134
g361031473006,100,99,76,95
g361031474011,117,33,73,107
g361031474012,101,64,19,107
g361031474013,106,64,62,56
g361031474014,55,43,68,91
g361031474021,50,28,15,29
g361031474022,55,47,20,64
g361031474023,56,28,16,53
g361031475011,90,47,19,59
g361031475012,128,26,33,64
g361031475013,44,56,38,35
g361031475014,82,48,22,43
g361031475015,122,117,20,57
g361031475016,98,37,18,89
g361031475021,61,44,27,15
g361031475022,81,42,14,46
g361031475023,75,47,80,39
g361031475024,76,71,11,18
g361031475025,66,49,11,20
g361031475031,59,38,19,47
g361031476011,59,40,15,32
g361031476012,59,29,11,41
g361031476021,104,66,26,84
g361031476022,97,38,11,48
g361031476023,60,49,11,70
g361031476024,80,47,26,26
g361031477011,62,59,53,39
g361031477012,71,43,36,56
g361031477021,82,42,11,43
g361031477022,48,13,48,48
g361031477023,86,61,17,39
g361031477024,55,19,14,37
g361031478021,53,50,19,36
g361031478022,75,17,11,39
g361031478023,65,27,38,64
g361031478031,65,47,19,81
g361031478032,49,34,11,42
g361031478041,87,64,11,57
g361031478042,83,22,18,25
g361031478043,68,42,23,32
g361031478044,71,21,11,36
g361031479011,85,54,22,46
g361031479012,45,29,32,90
g361031479013,89,72,30,70
g361031479021,55,33,11,23
g361031479022,84,40,14,18
g361031479023,84,27,11,34
g361031479024,66,34,11,36
g361031580011,54,11,4,23
g361031580012,40,15,13,32
g361031580013,50,17,21,32
g361031580014,63,12,11,40
g361031580015,44,23,6,13
g361031580021,76,11,40,33
g361031580022,54,25,11,88
g361031580023,134,32,33,24
g361031580024,81,55,87,39
g361031580025,64,32,11,47
g361031580026,88,36,11,52
g361031580061,122,81,11,105
g361031580062,109,20,66,65
g361031580063,86,32,34,76
g361031580064,75,25,11,23
g361031580071,11,11,11,11
g361031580072,16,17,6,11
g361031580073,11,11,11,13
g361031580074,11,11,11,11
g361031580091,51,17,11,25
g361031580092,56,19,8,31
g361031580101,78,25,11,52
g361031580102,67,43,11,11
g361031580103,50,27,11,32
g361031580111,97,46,19,56
g361031580112,63,41,11,36
g361031580113,59,49,55,91
g361031581021,107,70,14,89
g361031581022,105,88,42,22
g361031581031,97,105,72,41
g361031581032,73,75,20,55
g361031581041,97,50,44,38
g361031581042,78,81,20,45
g361031581043,99,67,10,55
g361031581071,65,34,14,73
g361031581072,81,76,26,54
g361031581081,55,54,11,49
g361031581101,70,70,22,18
g361031581102,68,62,30,45
g361031581111,63,37,13,41
g361031581112,56,57,17,29
g361031581121,97,70,30,21
g361031581122,91,65,19,69
g361031581141,87,69,28,52
g361031581151,112,94,11,120
g361031581152,91,92,36,54
g361031581153,124,99,24,22
g361031581161,61,51,9,38
g361031581162,40,16,17,31
g361031582021,94,100,16,65
g361031582022,166,79,105,93
g361031582023,112,45,73,39
g361031582024,85,41,53,61
g361031582025,127,35,11,81
g361031582031,49,37,18,32
g361031582051,38,39,16,19
g361031582052,44,33,14,32
g361031582061,54,24,82,61
g361031582062,76,33,50,56
g361031582063,87,15,52,50
g361031582071,46,6,5,16
g361031582072,93,32,13,50
g361031582073,28,25,49,49
g361031582074,80,42,11,58
g361031583041,96,92,83,103
g361031583042,117,79,11,25
g361031583043,127,102,11,97
g361031583044,109,88,34,97
g361031583061,112,69,21,83
g361031583062,91,41,11,119
g361031583063,97,39,16,58
g361031583081,96,41,28,94
g361031583082,129,80,36,95
g361031583083,123,92,59,74
g361031583084,141,52,11,66
g361031583091,142,119,34,91
g361031583092,119,63,58,64
g361031583101,82,41,39,56
g361031583102,95,74,49,90
g361031583151,114,72,51,68
g361031583152,98,73,36,46
g361031583171,151,94,42,82
g361031583172,130,64,61,52
g361031583173,120,61,11,45
g361031583181,69,87,64,58
g361031583182,64,25,11,60
g361031583183,94,31,13,38
g361031583191,74,55,58,72
g361031583192,67,44,11,60
g361031583193,75,11,19,35
g361031583201,97,34,35,40
g361031583202,109,30,32,71
g361031583203,94,51,97,130
g361031583204,103,25,27,40
g361031583211,177,87,100,116
g361031583212,99,77,29,78
g361031583213,101,70,27,33
g361031583214,197,136,84,139
g361031583221,61,34,11,37
g361031583231,93,99,26,20
g361031583232,102,51,11,27
g361031583233,113,67,11,18
g361031583234,122,71,11,103
g361031584011,47,31,7,35
g361031584021,73,36,34,32
g361031584022,37,6,3,13
g361031584023,67,36,37,47
g361031584031,68,31,9,46
g361031584032,52,24,36,48
g361031584051,91,42,63,60
g361031584052,64,14,14,15
g361031584053,82,12,45,30
g361031584071,95,79,11,58
g361031584072,109,107,25,47
g361031584073,90,81,11,78
g361031584074,132,50,29,43
g361031584081,101,72,21,84
g361031584082,81,65,40,73
g361031584091,70,105,47,64
g361031584092,106,62,9,69
g361031584093,83,28,20,11
g361031584101,99,43,19,74
g361031584102,83,18,46,114
g361031584103,57,11,11,131
g361031585021,74,62,32,59
g361031585022,65,8,11,55
g361031585023,77,31,13,99
g361031585051,76,55,13,28
g361031585052,68,21,11,36
g361031585053,51,51,32,69
g361031585061,59,28,11,55
g361031585062,40,49,8,36
g361031585071,54,22,21,59
g361031585072,63,44,14,45
g361031585073,96,72,11,53
g361031585081,82,11,11,30
g361031585082,94,94,11,18
g361031585083,88,25,11,24
g361031585084,61,36,11,59
g361031585085,77,8,11,12
g361031585091,70,69,64,23
g361031585092,66,51,53,77
g361031585093,97,79,62,64
g361031585101,147,136,50,62
g361031585102,72,104,24,55
g361031585103,141,53,42,42
g361031585104,117,62,45,43
g361031585111,78,67,46,60
g361031585112,124,82,17,34
g361031585113,101,79,46,41
g361031585121,81,24,10,58
g361031585122,79,34,11,24
g361031586041,87,61,26,30
g361031586042,59,57,11,46
g361031586043,85,74,16,79
g361031586051,101,55,10,57
g361031586052,103,59,21,22
g361031586061,76,77,51,63
g361031586062,84,24,33,79
g361031586063,74,54,24,25
g361031586071,89,73,67,83
g361031586072,85,66,11,38
g361031586081,50,40,33,46
g361031586082,56,70,24,39
g361031586083,82,34,51,59
g361031586091,83,75,30,67
g361031586092,93,25,22,21
g361031586093,68,38,19,36
g361031587041,102,130,78,24
g361031587042,56,134,53,101
g361031587043,143,74,11,161
g361031587044,189,130,77,92
g361031587045,87,86,35,106
g361031587051,69,78,11,57
g361031587052,75,89,17,76
g361031587053,85,53,11,36
g361031587071,55,36,24,47
g361031587081,40,45,11,102
g361031587082,112,65,49,67
g361031587083,88,45,22,30
g361031587091,62,51,35,63
g361031587101,83,77,12,46
g361031587102,70,43,28,32
g361031587103,90,26,52,55
g361031587104,11,11,11,11
g361031587111,91,49,12,84
g361031587112,88,54,29,143
g361031587113,116,115,124,102
g361031587121,110,62,88,66
g361031587122,118,150,24,40
g361031587123,71,54,11,34
g361031587124,145,92,11,35
g361031587125,127,102,49,119
g361031588021,78,52,11,55
g361031588022,84,39,12,49
g361031588023,65,63,11,73
g361031588031,122,63,21,12
g361031588032,68,91,58,87
g361031588033,98,71,15,43
g361031588034,62,32,30,82
g361031588041,143,39,38,46
g361031588042,101,54,39,62
g361031588043,107,41,44,76
g361031588044,91,84,17,69
g361031588045,110,59,21,38
g361031588046,93,34,17,49
g361031589001,90,126,37,125
g361031589002,131,110,86,98
g361031589003,93,74,25,35
g361031589004,45,82,27,92
g361031589005,125,104,55,123
g361031590001,67,106,63,67
g361031590002,101,61,38,39
g361031590003,80,69,49,113
g361031591021,88,69,84,113
g361031591022,95,76,34,115
g361031591023,109,56,11,41
g361031591024,106,97,11,109
g361031591025,54,11,11,139
g361031591031,62,27,11,41
g361031591032,75,62,11,18
g361031591033,112,118,24,24
g361031591034,57,102,11,71
g361031591051,127,50,43,47
g361031591052,156,53,19,141
g361031591053,125,77,28,78
g361031591054,90,105,26,79
g361031591061,86,35,11,22
g361031591062,120,87,49,103
g361031591063,75,59,24,18
g361031591071,62,45,28,53
g361031591072,69,50,11,29
g361031591073,77,60,21,33
g361031591081,63,49,41,28
g361031591082,160,90,14,81
g361031591083,77,91,20,11
g361031591084,102,54,11,60
g361031591085,84,55,13,34
g361031592011,88,75,31,44
g361031592012,100,68,25,78
g361031592031,111,65,37,94
g361031592032,128,69,57,78
g361031592033,109,83,53,73
g361031592041,68,55,20,54
g361031592042,53,31,15,33
g361031592043,78,28,18,79
g361031592044,62,31,14,51
g361031593001,48,17,9,60
g361031593002,60,35,17,66
g361031594041,115,119,50,116
g361031594042,66,53,11,46
g361031594043,111,110,11,183
g361031594044,142,111,63,18
g361031594045,161,34,11,31
g361031594061,91,45,45,31
g361031594062,115,54,15,88
g361031594063,73,26,11,81
g361031594071,121,40,27,52
g361031594072,79,57,11,68
g361031594073,124,54,42,67
g361031594081,98,69,60,41
g361031594082,63,60,14,48
g361031594101,125,109,11,73
g361031594102,127,53,52,108
g361031594103,158,87,16,44
g361031594111,71,35,10,84
g361031594112,73,60,32,50
g361031594121,76,69,11,11
g361031594122,163,97,22,83
g361031594123,137,65,68,117
g361031594124,133,57,58,114
g361031595051,133,76,11,33
g361031595052,156,111,69,98
g361031595053,93,34,49,47
g361031595054,106,94,55,11
g361031595055,151,81,23,74
g361031595061,111,132,11,102
g361031595062,146,112,15,51
g361031595063,94,92,32,40
g361031595064,152,107,22,105
g361031595081,104,77,13,41
g361031595082,95,104,86,98
g361031595083,162,154,98,46
g361031595084,157,137,26,70
g361031595091,71,39,14,49
g361031595092,39,86,20,72
g361031595093,74,70,29,51
g361031595101,14,14,12,15
g361031595102,3,11,11,2
g361031595111,124,112,51,42
g361031595112,91,70,61,64
g361031595113,98,114,79,51
g361031595114,156,11,11,87
g361031595121,72,63,32,49
g361031596011,110,22,69,44
g361031596012,78,21,29,68
g361031596013,101,46,11,36
g361031596014,142,21,24,92
g361031596015,124,41,11,78
g361031596021,107,53,11,81
g361031596022,89,71,62,63
g361031697011,119,57,16,49
g361031697012,132,66,11,33
g361031697013,133,46,44,102
g361031697014,110,55,11,47
g361031697015,130,47,11,58
g361031697031,93,37,12,72
g361031697041,63,13,11,111
g361031697042,132,11,11,61
g361031697043,94,135,11,119
g361031697044,94,57,60,135
g361031697045,67,47,11,121
g361031697046,100,84,52,73
g361031698001,85,113,82,76
g361031698002,65,96,22,46
g361031698003,71,91,14,69
g361031698004,97,99,39,47
g361031699011,148,118,40,28
g361031699012,146,128,81,214
g361031699021,181,122,11,93
g361031699022,142,28,11,107
g361031699023,109,80,11,75
g361031699024,51,22,11,35
g361031699025,113,176,77,78
g361031700011,128,88,11,109
g361031700012,104,30,57,149
g361031700013,86,40,32,35
g361031700014,113,121,11,55
g361031700015,94,55,84,70
g361031700021,58,14,11,67
g361031700022,81,51,32,35
g361031700023,80,16,14,39
g361031700024,112,53,20,41
g361031700025,70,23,17,34
g361031701011,45,45,34,55
g361031701012,61,48,63,68
g361031702011,118,53,65,94
g361031702012,116,63,11,60
g361031702013,102,68,11,42
g361031702014,73,36,11,80
g361031702015,74,28,11,66
g361031702016,121,46,11,58
g361031702017,102,11,11,41
g361031702021,57,24,14,71
g361031702022,37,22,24,23
g361031702023,51,31,29,66
g361031702024,44,25,23,40
g361031702025,65,33,23,86
g361031803001,113,56,32,80
g361031803002,118,59,8,55
g361031904011,69,81,38,80
g361031904012,83,11,58,91
g361031904013,79,8,11,138
g361031904014,11,11,11,11
g361031904015,63,139,122,44
g361031904016,100,62,32,61
g361031904017,186,151,11,48
g361031904021,56,38,8,60
g361031904022,65,24,23,28
g361031904031,68,29,50,74
g361031904032,52,71,33,33
g361031904033,93,64,17,73
g361031905021,72,13,14,29
g361031905022,59,36,9,41
g361031905023,52,15,30,59
g361031905031,62,34,18,31
g361031905032,84,31,11,61
g361031905033,66,24,18,52
g361031905034,47,22,11,35
g361031905041,54,11,9,44
g361031905042,43,25,8,62
g361031905043,52,38,11,33
g361031906011,46,35,11,25
g361031906012,71,51,15,78
g361031906013,75,32,54,34
g361031906014,74,64,12,61
g361031906015,76,15,13,26
g361031906016,55,24,15,37
g361031906031,110,35,22,59
g361031906032,112,117,22,87
g361031906033,79,81,14,57
g361031906041,132,93,30,78
g361031906042,95,97,41,71
g361031906043,74,32,77,76
g361031907041,121,47,11,69
g361031907042,41,17,11,42
g361031907043,40,11,6,22
g361031907044,66,11,16,34
g361031907045,61,23,18,69
g361031907051,17,16,11,16
g361031907052,105,13,61,48
g361031907053,42,29,11,36
g361031907054,72,32,76,68
g361031907055,64,56,17,71
g361031907061,71,39,38,59
g361031907062,96,39,30,75
g361031907063,95,27,36,15
g361031907064,56,29,11,67
g361031907065,90,26,18,20
g361031907071,96,30,11,57
g361031907072,109,33,49,70
g361031907073,75,11,11,43
g361031907074,107,43,82,31
g361031907075,78,22,85,126
g361031907081,48,14,21,19
g361031907082,54,52,51,65
g361031908001,62,58,14,71
g361031908002,56,65,11,63
g361031908003,68,22,31,76
g361031908004,57,46,48,48
g361032009011,36,40,7,44
g361032009012,37,9,10,34
g361032009021,155,37,52,79
g361032009022,83,37,11,60
g361032009023,104,54,110,55
g361032009024,98,24,11,63
g361032009025,54,27,24,36
g361032009026,207,60,82,77
g361032009027,77,47,16,30
g361032010011,103,33,45,98
g361032010012,60,57,97,86
g361032010013,102,44,56,105
g361032010014,87,65,26,56
g361032010015,170,43,47,116
g361032010031,97,42,11,85
g361032010032,56,11,5,39
g361032010033,40,20,11,35
g361032010034,64,15,57,32
g361032010035,68,33,55,62
g361032010041,34,11,16,43
g361032010042,86,64,11,73
g361032010043,75,14,14,76
g361032010044,71,17,11,58
g361032010045,95,48,62,113
g361032010046,71,59,18,76
g361032011001,105,75,58,30
g361032011002,99,27,60,25
g361032011003,11,11,11,11
g361032011004,80,68,11,50
g361039901000,11,11,11,11
