GEOID,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M
g361031231022,11,11,20,11,11,11,15,11,11,11,11,11,11,11,33,48,26,9,31,64,84,15,11,11
g361031231023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,11,11,13,34,49,26,37,11,11
g361031232011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,31,48,34,30,11,11
g361031232021,11,11,11,11,11,11,11,11,11,11,11,11,11,14,20,39,11,66,98,42,58,28,18,11
g361031232022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,27,23,27,11,11,11,11
g361031232023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,37,111,94,16,45,21,11
g361031232024,11,11,11,12,11,11,11,11,30,11,11,11,11,11,11,23,37,69,72,100,107,56,11,11
g361031233011,11,11,11,25,32,11,26,11,11,11,11,11,11,25,11,62,11,18,11,52,11,11,11,11
g361031233012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,67,11,61,36,55,41,11,11,11
g361031233013,11,11,11,11,11,11,11,11,11,11,11,11,11,25,11,27,37,45,53,43,11,11,11,11
g361031233014,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,82,11,51,11,50,11,11,11,11
g361031233015,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,32,67,22,86,61,31,11,11
g361031233016,11,32,55,66,17,74,29,30,11,30,11,11,11,11,11,11,11,11,11,27,11,11,11,11
g361031233021,10,11,11,11,11,11,11,11,11,11,11,26,11,40,11,9,8,35,52,14,36,11,11,11
g361031234011,11,11,10,11,11,11,11,11,11,11,11,11,11,11,23,11,11,14,33,48,70,28,11,11
g361031234012,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,46,70,11,9,11,11
g361031234013,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,37,48,59,18,11,11
g361031234021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,40,11,36,85,32,11,26,11
g361031234022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,39,41,102,33,36,11,11
g361031234023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,37,72,84,11,11,11,11
g361031234024,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,73,52,11,11,11
g361031234025,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,32,11,33,38,82,56,23,11,11
g361031235001,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,27,69,48,50,43,11,11
g361031235002,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,56,26,20,32,37,11,11,11
g361031235003,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,27,49,46,44,51,11,11
g361031235004,11,11,11,11,11,11,11,11,11,11,11,11,11,81,11,11,11,32,71,56,17,11,11,11
g361031236001,11,11,11,15,11,11,11,11,11,11,11,11,11,12,9,39,11,46,25,70,59,62,25,11
g361031236002,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,26,39,27,25,11
g361031236003,11,11,11,12,11,11,11,11,11,11,11,12,11,11,11,11,11,11,13,70,47,43,18,15
g361031237011,11,11,11,19,11,11,15,11,11,11,11,11,11,11,11,17,11,58,65,63,36,35,11,11
g361031237012,14,11,11,11,11,11,11,11,11,11,11,11,11,11,29,11,11,12,24,26,7,11,11,12
g361031237013,11,11,11,11,11,11,11,11,11,15,11,11,11,11,11,11,12,40,18,34,15,15,11,11
g361031237014,11,11,11,11,11,13,11,11,11,11,11,11,15,11,13,17,12,11,31,39,13,11,11,11
g361031237021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,31,43,112,83,11,11,25
g361031237022,11,11,11,25,11,11,11,11,11,11,11,11,11,11,11,19,64,60,144,96,27,11,11,11
g361031237023,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,23,57,72,46,36,14,11,11
g361031237024,11,11,11,11,20,11,11,11,11,11,11,11,19,11,11,11,23,96,72,92,30,11,11,11
g361031238011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,52,31,52,61,28,15,11
g361031238012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,19,18,84,11,11,12,11
g361031238013,13,11,11,11,11,11,11,17,11,11,11,11,11,11,11,23,12,26,60,52,64,31,14,19
g361031238021,11,11,11,11,17,11,11,11,11,11,17,11,11,11,11,11,11,37,48,107,20,60,11,11
g361031238022,29,11,11,11,11,11,11,11,11,11,19,11,9,11,11,11,12,29,74,82,97,45,29,11
g361031239001,11,11,11,11,11,11,22,11,16,11,11,11,11,11,11,11,11,52,22,65,23,18,14,11
g361031239002,11,11,14,11,11,11,11,11,11,11,11,11,11,11,9,11,11,11,33,56,30,11,11,11
g361031239003,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,21,14,26,65,14,8,11,14
g361031239004,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,11,11,26,30,74,43,11,11,11
g361031239005,13,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,11,16,26,30,27,11,11,11
g361031240011,9,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,17,9,54,99,44,64,11,11
g361031240012,11,11,11,11,22,11,11,11,11,16,11,11,15,11,9,11,11,20,41,90,48,11,11,11
g361031240013,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,22,24,21,11,11,16
g361031240021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,55,61,54,26,19,11
g361031240022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,57,41,89,51,18,11,11
g361031241011,16,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,31,42,107,73,30,11,11
g361031241012,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,19,87,50,41,11,11,11
g361031241013,11,11,11,11,11,11,11,27,11,11,11,11,11,11,11,12,11,24,17,84,45,32,11,11
g361031241021,11,11,11,11,11,11,11,16,18,11,11,11,11,11,11,11,11,17,71,79,36,19,11,18
g361031241022,12,11,11,11,11,11,11,11,11,11,11,11,11,11,27,11,11,16,47,71,29,71,11,24
g361031242001,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,11,23,49,68,45,11,11,11
g361031242002,24,11,11,11,11,28,28,11,11,11,11,11,11,11,11,11,11,41,27,87,16,29,11,11
g361031242003,11,11,11,11,11,20,11,11,11,11,11,11,37,11,11,11,11,23,11,43,11,11,11,11
g361031242004,11,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,35,50,93,76,87,11,11
g361031242005,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,123,98,20,11,28
g361031243001,11,11,11,11,11,11,11,11,11,28,11,11,11,25,11,11,11,25,11,77,56,11,11,11
g361031243002,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,27,81,91,63,11,11,11
g361031243003,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,92,55,48,18,11,11
g361031243004,11,11,11,11,11,22,11,11,11,11,11,11,11,11,11,11,11,11,84,102,45,11,11,11
g361031243005,11,11,11,11,11,11,11,11,11,11,11,11,11,11,31,33,27,69,18,11,11,11,11,11
g361031244011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
g361031244012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,24,28,58,11,15
g361031244013,11,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,14,30,50,77,41,20,11,11
g361031244021,13,11,11,14,15,11,11,11,11,11,11,11,11,11,23,11,11,38,58,79,23,47,11,11
g361031244022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,13,14,23,80,50,11,17,11
g361031244023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,42,91,93,16
g361031245001,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,16,26,55,41,13,11
g361031245002,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,15,57,49,11,11
g361031245003,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,42,33,49,21,11,11
g361031245004,11,11,11,11,11,11,13,11,11,11,11,11,11,11,14,11,11,16,19,76,49,58,11,11
g361031246011,11,6,11,9,11,7,11,11,17,11,11,11,11,11,11,10,11,21,20,52,46,11,11,11
g361031246012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,9,36,39,34,19,23
g361031246013,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,31,26,31,16,25
g361031246021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,17,26,30,19,12,44
g361031246022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,49,54,48,29,17
g361031246023,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,57,35,47,64,27,17
g361031246024,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,10,50,14,11,54,11
g361031347021,11,11,11,11,11,11,11,11,11,11,11,11,11,27,11,11,11,24,77,109,91,11,20,11
g361031347022,11,11,11,11,11,18,22,11,11,11,11,11,11,25,11,11,11,19,11,123,96,52,37,11
g361031347023,11,20,11,11,11,11,11,11,11,11,11,11,11,11,11,21,11,11,11,11,11,11,11,11
g361031347024,11,11,11,11,11,20,11,11,11,11,11,11,11,11,11,11,11,21,26,48,54,42,24,11
g361031347031,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,55,48,63
g361031347032,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,44,33,53,53,35
g361031347033,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,23,14,49,57,31
g361031347034,11,11,11,11,11,11,11,11,11,11,44,11,11,11,11,11,11,11,11,21,15,41,44,12
g361031347041,11,11,11,11,11,11,11,11,11,13,11,11,11,11,11,17,22,11,11,40,41,67,10,11
g361031347042,11,11,11,11,11,11,11,11,11,11,11,11,11,14,11,12,17,35,16,27,32,23,24,11
g361031349021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,49,44,58,19,11
g361031349022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,29,33,44,48,35
g361031349023,14,11,11,17,11,11,11,11,11,11,14,11,11,11,11,14,11,23,11,67,70,93,11,14
g361031349031,6,11,11,11,11,11,11,11,11,33,11,11,11,11,18,11,11,11,7,19,36,43,10,11
g361031349041,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,76,93,24,11,11
g361031349042,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,29,80,66,38,61
g361031349043,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,27,51,64,15,11
g361031349044,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,72,43,58,11,26
g361031349061,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,36,72,83,59,11,11
g361031349062,11,11,11,11,11,11,11,11,11,11,11,11,11,25,11,11,11,11,11,88,58,27,11,11
g361031349063,11,11,11,11,11,11,11,21,11,11,11,11,11,11,11,11,11,11,19,54,104,63,16,24
g361031349064,11,11,11,11,11,11,11,11,11,11,32,11,11,11,11,11,11,11,11,11,42,54,11,11
g361031349071,11,11,11,11,11,11,11,11,15,11,18,11,11,11,11,11,11,11,11,95,72,41,23,11
g361031349072,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,11,17,14,88,96,60,12,11
g361031350021,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,11,11,42,12,74,45,58,17,11
g361031350022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,61,64,81,66,14
g361031350023,18,11,11,11,11,11,11,18,17,11,11,11,11,11,11,11,11,11,16,68,80,59,11,11
g361031350031,11,11,11,11,11,19,11,12,11,11,11,11,11,11,45,11,11,11,11,32,75,44,21,21
g361031350032,17,11,11,11,11,11,11,11,11,11,11,41,11,11,11,11,11,19,11,55,49,56,39,19
g361031350033,11,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,11,12,15,52,56,40,11,15
g361031350041,6,11,11,11,11,11,11,11,11,11,11,11,11,5,11,3,16,11,11,4,4,34,45,45
g361031350042,11,11,11,11,11,11,11,4,11,11,11,11,11,11,11,11,11,11,11,4,29,15,18,26
g361031350043,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,11,6,7,20,25,30
g361031350051,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,47,53,45,59,14
g361031350052,21,11,11,11,12,11,11,11,11,11,11,11,11,11,11,18,11,37,28,70,44,17,11,11
g361031350053,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,41,52,52,11
g361031351011,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,11,50,77,22,11
g361031351012,11,11,11,11,11,11,11,11,11,58,11,11,11,11,11,11,11,15,9,54,104,55,21,11
g361031351021,18,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,13,39,45,52,11,11
g361031351022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,53,87,74,18,14
g361031351023,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,15,61,46,43,11
g361031351031,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,46,85,42,11,17
g361031351032,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,14,11,24,43,60,62,11
g361031351033,18,11,11,11,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,62,63,84,11,11
g361031351041,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,11,44,64,48,11,11
g361031351042,15,11,11,11,11,11,11,11,11,11,11,24,11,9,11,11,11,11,20,67,56,75,58,11
g361031351043,11,11,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,11,11,25,63,33,20,21
g361031352011,10,11,11,11,11,11,11,12,11,11,11,11,11,11,11,6,11,14,28,61,62,47,11,11
g361031352041,24,11,11,11,11,11,11,11,11,11,11,11,11,11,19,11,11,11,11,28,46,45,94,11
g361031352042,13,11,11,11,11,11,11,11,11,11,11,11,16,11,11,11,11,13,11,41,90,67,52,22
g361031352043,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,45,65,49,18,11
g361031352051,25,11,11,11,11,11,11,11,11,11,11,11,11,11,15,11,11,11,22,57,89,49,11,11
g361031352052,11,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,12,40,58,80,11,11
g361031352053,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,20,16,44,35,46,14,18
g361031352081,19,11,11,11,14,11,11,11,11,11,11,11,11,11,11,11,11,11,16,44,62,66,15,11
g361031352082,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,55,57,59,23,38
g361031352091,10,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,13,47,89,57,11,11
g361031352092,11,11,11,35,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,45,71,48,13,11
g361031353011,18,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,50,11,43,69,59,20,11
g361031353012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,16,39,52,55,15,11
g361031353013,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,48,11,11,39,32,31,58
g361031353031,11,11,11,11,11,14,15,13,11,11,11,11,11,24,16,59,13,11,34,56,83,58,29,11
g361031353032,11,11,11,11,11,11,11,13,11,11,11,11,11,11,16,4,11,12,33,65,60,42,11,17
g361031353041,11,11,11,11,11,11,11,11,11,11,11,13,11,11,11,21,11,11,36,50,106,57,9,11
g361031353042,11,11,11,11,11,16,14,11,11,11,11,11,11,34,11,11,11,11,14,27,45,25,11,15
g361031354011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,65,52,47,11
g361031354012,27,11,11,11,11,11,11,11,11,11,41,11,11,11,25,11,27,35,29,57,102,99,38,11
g361031354013,11,11,11,11,11,32,11,11,11,11,11,11,11,11,11,11,11,11,11,138,111,118,62,11
g361031354021,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,94,81,97,69,11
g361031354022,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,18,11,48,107,97,11,11
g361031354023,11,11,11,11,11,11,11,11,20,11,11,11,11,11,11,11,11,11,11,26,58,73,11,11
g361031354024,11,11,11,11,11,11,11,11,73,11,11,11,11,11,11,16,11,11,11,44,51,80,11,11
g361031354031,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,20,66,58,38,18,11
g361031354032,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,11,24,25,108,79,28,11,11
g361031354033,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,59,59,23,11,11
g361031456021,11,11,11,11,11,11,25,11,11,11,11,11,11,12,11,22,35,60,70,29,12,11,11,11
g361031456022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,11,32,57,64,13,52,11,11
g361031456023,11,11,11,11,16,11,11,11,12,11,11,11,11,11,6,16,19,82,43,106,23,11,11,11
g361031456031,11,11,11,11,20,11,11,11,11,11,11,11,11,8,46,50,30,73,53,70,25,11,11,14
g361031456032,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,11,51,29,28,25,14,14,11,11
g361031456033,11,11,11,11,11,11,11,11,11,11,11,11,11,23,11,34,11,58,88,71,6,33,11,11
g361031456041,11,11,11,11,11,11,11,11,11,11,11,11,11,43,50,37,28,70,76,62,19,11,11,11
g361031456042,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,11,61,74,32,25,11,11,11
g361031456051,8,11,11,11,11,11,11,11,11,11,11,11,11,9,11,11,16,36,36,29,11,11,11,11
g361031456052,11,11,11,7,11,11,11,11,11,11,11,11,8,11,11,11,19,41,38,62,18,11,11,11
g361031457011,18,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,52,38,39,16
g361031457012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,11,66,80,29,29,11
g361031457013,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,11,11,24,11,11,11
g361031457014,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,23,35,54,95,11,11
g361031457021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,68,37,64,11,8,11,11
g361031457022,20,11,11,11,11,11,11,11,11,11,11,11,11,12,11,20,8,16,95,82,17,11,11,11
g361031457023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,99,87,55,56,11,11,14
g361031457031,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,53,13,11,37,11,11
g361031457032,12,11,11,29,11,11,11,11,11,11,11,11,11,11,10,13,51,88,90,42,54,37,11,11
g361031457033,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,36,52,56,43,21,11,11,11
g361031457041,11,11,11,11,11,11,11,11,11,16,11,11,11,11,11,117,22,84,40,39,42,44,11,11
g361031457042,11,19,11,11,11,11,11,11,11,11,11,30,11,86,11,11,46,67,33,43,20,11,11,11
g361031457043,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,83,96,81,74,21,11,11,11
g361031457044,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,11,11,11,11,11,11,11
g361031458031,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,53,37,39,49,62,35,16
g361031458032,11,11,11,13,11,11,12,11,11,11,11,11,11,11,11,11,19,11,11,62,81,55,12,45
g361031458033,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,29,13,24,11,20,71,67,31,17
g361031458041,7,11,11,11,11,7,11,17,11,11,11,11,11,11,11,11,14,27,43,71,30,10,11,13
g361031458042,13,11,11,11,11,11,11,11,11,11,11,11,11,7,9,24,14,27,31,35,31,16,22,11
g361031458051,26,11,11,11,11,11,11,11,11,11,11,11,11,11,11,35,52,83,17,58,20,11,11,11
g361031458052,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,94,81,39,11,11,11
g361031458053,11,11,11,11,11,20,11,11,11,11,11,11,11,11,11,11,11,29,56,93,51,44,11,11
g361031458054,17,11,11,11,11,11,11,11,11,11,11,28,11,16,30,11,18,38,48,121,15,37,11,11
g361031458071,12,11,11,11,10,11,8,11,11,11,11,11,11,11,11,11,11,32,51,84,43,28,11,11
g361031458072,17,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,52,45,93,37,20,45,11
g361031458081,21,11,11,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,29,81,55,48,11,11
g361031458082,11,11,11,11,8,11,11,11,11,11,11,11,11,11,11,11,11,59,26,61,49,12,11,11
g361031459011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11,35,40,54,26,9,11,14
g361031459012,11,11,11,10,7,9,11,11,11,11,11,11,12,13,11,24,14,53,62,76,32,12,11,8
g361031459021,24,11,11,11,11,11,11,20,11,11,11,11,11,24,11,11,11,68,45,93,46,31,11,29
g361031459022,12,11,11,11,11,11,11,11,11,11,11,11,11,30,11,14,13,86,42,108,42,11,13,18
