GEOID,B25034_001E,B03002_001E,B11001_001E,B25026_001E,B25004_001E,B25075_001E,B25024_001E
g361031471003,357,1032,357,,0,349,357
g361031472001,803,2840,789,,14,536,803
g361031472002,309,540,275,,34,57,309
g361031472003,624,1407,541,,83,230,624
g361031472004,332,903,298,,34,209,332
g361031472005,477,674,412,,65,28,477
g361031473001,421,1382,387,,34,70,421
g361031473002,238,536,238,,0,43,238
g361031473003,439,1340,439,,0,347,439
g361031473004,439,1666,439,,0,190,439
g361031473005,587,1299,587,,0,31,587
g361031473006,844,1790,832,,12,547,844
g361031474011,766,2042,766,,0,499,766
g361031474012,738,1226,645,,93,426,738
g361031474013,689,2002,653,,36,478,689
g361031474014,372,688,359,,13,219,372
g361031474021,448,1213,417,,31,373,448
g361031474022,451,1206,431,,20,423,451
g361031474023,439,1126,411,,28,385,439
g361031475011,332,872,296,,36,140,332
g361031475012,773,2170,681,,92,640,773
g361031475013,179,606,179,,0,179,179
g361031475014,229,709,229,,0,169,229
g361031475015,552,1753,552,,0,529,552
g361031475016,657,1321,545,,112,425,657
g361031475021,345,1157,308,,37,308,345
g361031475022,384,1232,384,,0,375,384
g361031475023,594,1680,568,,26,568,594
g361031475024,404,1649,404,,0,388,404
g361031475025,261,840,261,,0,231,261
g361031475031,541,1636,541,,0,502,541
g361031476011,398,1240,358,,40,345,398
g361031476012,502,1159,445,,57,414,502
g361031476021,863,1503,708,,155,511,863
g361031476022,633,1787,593,,40,550,633
g361031476023,396,802,396,,0,267,396
g361031476024,352,1060,352,,0,352,352
g361031477011,627,2226,620,,7,454,627
g361031477012,589,1228,554,,35,433,589
g361031477021,569,1586,546,,23,501,569
g361031477022,726,850,333,,393,303,726
g361031477023,497,1518,476,,21,382,497
g361031477024,265,731,241,,24,200,265
g361031478021,368,894,368,,0,202,368
g361031478022,476,1404,460,,16,448,476
g361031478023,566,1361,545,,21,403,566
g361031478031,938,1892,875,,63,475,938
g361031478032,412,1229,412,,0,317,412
g361031478041,738,2410,738,,0,738,738
g361031478042,358,1085,358,,0,322,358
g361031478043,450,1554,450,,0,450,450
g361031478044,379,1028,379,,0,379,379
g361031479011,690,1990,666,,24,615,690
g361031479012,693,834,554,,139,59,693
g361031479013,579,1361,523,,56,92,579
g361031479021,258,681,258,,0,245,258
g361031479022,361,1076,336,,25,315,361
g361031479023,457,1432,436,,21,412,457
g361031479024,379,981,358,,21,326,379
g361031580011,389,919,329,,60,308,389
g361031580012,390,958,361,,29,302,390
g361031580013,372,752,297,,75,276,372
g361031580014,378,982,340,,38,324,378
g361031580015,209,642,209,,0,199,209
g361031580021,417,1174,405,,12,385,417
g361031580022,426,803,338,,88,338,426
g361031580023,487,1482,487,,0,451,487
g361031580024,321,858,309,,12,257,321
g361031580025,290,759,290,,0,227,290
g361031580026,474,1255,425,,49,425,474
g361031580061,1021,2510,993,,28,895,1021
g361031580062,961,2922,961,,0,887,961
g361031580063,411,971,349,,62,252,411
g361031580064,163,378,163,,0,163,163
g361031580071,0,2862,0,,0,0,0
g361031580072,34,1033,34,,0,31,34
g361031580073,10,974,10,,0,10,10
g361031580074,0,4128,0,,0,0,0
g361031580091,381,1280,376,,5,367,381
g361031580092,493,1521,493,,0,475,493
g361031580101,698,1939,637,,61,637,698
g361031580102,268,926,268,,0,253,268
g361031580103,273,794,273,,0,266,273
g361031580111,809,1841,762,,47,684,809
g361031580112,582,2104,582,,0,582,582
g361031580113,466,775,420,,46,345,466
g361031581021,1071,2795,1020,,51,748,1071
g361031581022,643,2146,618,,25,618,643
g361031581031,963,3107,916,,47,757,963
g361031581032,423,1275,423,,0,337,423
g361031581041,676,2223,643,,33,606,676
g361031581042,632,1885,632,,0,576,632
g361031581043,494,1643,494,,0,456,494
g361031581071,621,1476,614,,7,553,621
g361031581072,834,2599,805,,29,678,834
g361031581081,1008,2995,952,,56,764,1008
g361031581101,615,2214,576,,39,525,615
g361031581102,527,1398,456,,71,443,527
g361031581111,563,1772,534,,29,504,563
g361031581112,468,1535,453,,15,408,468
g361031581121,603,2059,575,,28,424,603
g361031581122,739,2345,688,,51,604,739
g361031581141,1229,3430,1110,,119,843,1229
g361031581151,1169,3118,1004,,165,647,1169
g361031581152,521,1840,521,,0,471,521
g361031581153,597,1889,597,,0,543,597
g361031581161,503,1413,473,,30,463,503
g361031581162,253,585,227,,26,191,253
g361031582021,431,1364,421,,10,291,431
g361031582022,858,2781,823,,35,373,858
g361031582023,554,1565,513,,41,439,554
g361031582024,418,1120,394,,24,394,418
g361031582025,706,1998,669,,37,616,706
g361031582031,574,1561,558,,16,526,574
g361031582051,284,844,263,,21,254,284
g361031582052,368,1185,368,,0,362,368
g361031582061,507,1122,468,,39,354,507
g361031582062,543,1311,505,,38,362,543
g361031582063,545,1375,503,,42,300,545
g361031582071,317,834,286,,31,277,317
g361031582072,675,1755,642,,33,569,675
g361031582073,327,493,276,,51,177,327
g361031582074,650,1733,650,,0,462,650
g361031583041,622,1521,582,,40,563,622
g361031583042,672,2471,672,,0,590,672
g361031583043,624,1737,594,,30,566,624
g361031583044,573,1462,573,,0,537,573
g361031583061,857,2571,857,,0,749,857
g361031583062,771,1426,771,,0,740,771
g361031583063,553,1812,535,,18,535,553
g361031583081,535,1405,535,,0,298,535
g361031583082,559,1735,522,,37,387,559
g361031583083,926,3030,884,,42,779,926
g361031583084,742,2086,633,,109,598,742
g361031583091,1188,3563,1188,,0,760,1188
g361031583092,644,1446,607,,37,226,644
g361031583101,627,1635,582,,45,520,627
g361031583102,1184,2546,1147,,37,983,1184
g361031583151,1015,2351,970,,45,917,1015
g361031583152,702,2284,675,,27,588,702
g361031583171,943,2106,811,,132,704,943
g361031583172,844,2045,617,,227,525,844
g361031583173,529,1591,483,,46,465,529
g361031583181,605,1738,577,,28,489,605
g361031583182,479,1192,427,,52,427,479
g361031583183,530,1494,509,,21,500,530
g361031583191,617,1881,594,,23,486,617
g361031583192,317,920,317,,0,309,317
g361031583193,318,905,292,,26,256,318
g361031583201,435,1364,386,,49,386,435
g361031583202,622,1839,539,,83,539,622
g361031583203,900,1320,844,,56,565,900
g361031583204,432,1489,432,,0,432,432
g361031583211,1384,3654,1234,,150,585,1384
g361031583212,718,1878,718,,0,518,718
g361031583213,405,1287,358,,47,358,405
g361031583214,1516,3636,1379,,137,116,1516
g361031583221,798,2311,785,,13,774,798
g361031583231,387,1414,387,,0,387,387
g361031583232,436,1065,316,,120,316,436
g361031583233,598,2139,598,,0,572,598
g361031583234,920,2445,879,,41,796,920
g361031584011,493,1381,459,,34,412,493
g361031584021,718,2420,718,,0,688,718
g361031584022,227,468,188,,39,185,227
g361031584023,566,1575,536,,30,482,566
g361031584031,461,1150,461,,0,446,461
g361031584032,466,928,403,,63,288,466
g361031584051,925,2039,756,,169,686,925
g361031584052,333,1119,312,,21,303,333
g361031584053,467,1522,467,,0,424,467
g361031584071,617,1439,504,,113,487,617
g361031584072,604,1897,559,,45,503,604
g361031584073,493,940,326,,167,260,493
g361031584074,603,1669,509,,94,455,603
g361031584081,877,2272,782,,95,577,877
g361031584082,718,1861,662,,56,524,718
g361031584091,577,1327,477,,100,201,577
g361031584092,803,1703,727,,76,722,803
g361031584093,319,814,221,,98,196,319
g361031584101,744,1540,735,,9,721,744
g361031584102,918,1078,742,,176,686,918
g361031584103,601,643,467,,134,399,601
g361031585021,565,1804,539,,26,379,565
g361031585022,271,768,271,,0,249,271
g361031585023,879,1217,870,,9,91,879
g361031585051,834,2847,771,,63,684,834
g361031585052,325,991,310,,15,300,325
g361031585053,347,686,347,,0,46,347
g361031585061,618,1893,570,,48,476,618
g361031585062,278,743,278,,0,237,278
g361031585071,270,876,270,,0,253,270
g361031585072,431,1164,369,,62,359,431
g361031585073,564,1927,538,,26,490,564
g361031585081,443,1299,401,,42,401,443
g361031585082,489,1709,457,,32,336,489
g361031585083,407,1464,407,,0,407,407
g361031585084,291,620,280,,11,208,291
g361031585085,331,1289,331,,0,331,331
g361031585091,534,1291,454,,80,347,534
g361031585092,536,1535,465,,71,378,536
g361031585093,731,2109,701,,30,259,731
g361031585101,929,2813,929,,0,688,929
g361031585102,467,1378,467,,0,397,467
g361031585103,508,1558,449,,59,384,508
g361031585104,485,1510,485,,0,470,485
g361031585111,561,1665,561,,0,462,561
g361031585112,805,2824,788,,17,702,805
g361031585113,701,2410,676,,25,619,701
g361031585121,645,1891,634,,11,630,645
g361031585122,467,1590,434,,33,414,467
g361031586041,463,1489,441,,22,402,463
g361031586042,331,1035,281,,50,253,331
g361031586043,820,2411,795,,25,734,820
g361031586051,828,2753,828,,0,783,828
g361031586052,758,2493,758,,0,675,758
g361031586061,586,1727,586,,0,569,586
g361031586062,444,1103,361,,83,305,444
g361031586063,525,1974,495,,30,376,525
g361031586071,789,1599,684,,105,479,789
g361031586072,459,1387,396,,63,342,459
g361031586081,287,983,241,,46,98,287
g361031586082,435,1205,412,,23,299,435
g361031586083,585,1586,562,,23,495,585
g361031586091,685,1882,635,,50,538,685
g361031586092,490,1560,466,,24,435,490
g361031586093,339,1097,339,,0,245,339
g361031587041,695,2143,646,,49,303,695
g361031587042,545,1044,545,,0,216,545
g361031587043,720,1576,669,,51,648,720
g361031587044,1101,2800,1051,,50,511,1101
g361031587045,700,1259,700,,0,565,700
g361031587051,379,1433,379,,0,165,379
g361031587052,550,1393,512,,38,445,550
g361031587053,307,1092,282,,25,161,307
g361031587071,569,1606,546,,23,510,569
g361031587081,455,599,423,,32,197,455
g361031587082,866,1974,775,,91,406,866
g361031587083,329,1198,329,,0,312,329
g361031587091,892,2188,831,,61,758,892
g361031587101,576,1537,504,,72,398,576
g361031587102,312,799,312,,0,251,312
g361031587103,431,1441,431,,0,310,431
g361031587104,127,40,0,,127,0,127
g361031587111,461,1358,426,,35,426,461
g361031587112,791,1250,750,,41,629,791
g361031587113,996,2587,926,,70,356,996
g361031587121,554,2006,554,,0,537,554
g361031587122,611,1725,598,,13,574,611
g361031587123,354,923,272,,82,272,354
g361031587124,379,1316,363,,16,317,379
g361031587125,581,1747,503,,78,398,581
g361031588021,634,2106,634,,0,523,634
g361031588022,630,1569,600,,30,573,630
g361031588023,441,927,405,,36,317,441
g361031588031,524,1832,524,,0,456,524
g361031588032,547,1472,547,,0,279,547
g361031588033,799,2695,799,,0,763,799
g361031588034,393,734,393,,0,345,393
g361031588041,534,1686,534,,0,510,534
g361031588042,346,863,346,,0,302,346
g361031588043,354,1064,354,,0,302,354
g361031588044,334,889,334,,0,323,334
g361031588045,346,1113,318,,28,260,346
g361031588046,454,1120,381,,73,327,454
g361031589001,582,1357,582,,0,285,582
g361031589002,686,2269,658,,28,170,686
g361031589003,300,901,287,,13,271,300
g361031589004,431,611,348,,83,163,431
g361031589005,981,2109,901,,80,616,981
g361031590001,693,2105,641,,52,463,693
g361031590002,586,1660,569,,17,404,586
g361031590003,706,1033,630,,76,252,706
g361031591021,631,1404,631,,0,136,631
g361031591022,560,1525,517,,43,220,560
g361031591023,363,1094,363,,0,363,363
g361031591024,645,1599,645,,0,169,645
g361031591025,613,840,613,,0,170,613
g361031591031,277,954,254,,23,233,277
g361031591032,302,792,219,,83,118,302
g361031591033,667,2892,642,,25,489,667
g361031591034,527,1994,527,,0,180,527
g361031591051,635,1866,596,,39,489,635
g361031591052,886,1596,850,,36,13,886
g361031591053,646,2253,646,,0,597,646
g361031591054,488,1213,447,,41,434,488
g361031591061,500,1518,500,,0,434,500
g361031591062,1238,2865,1071,,167,341,1238
g361031591063,394,2112,394,,0,369,394
g361031591071,453,1356,409,,44,409,453
g361031591072,326,1026,306,,20,300,326
g361031591073,450,1433,450,,0,416,450
g361031591081,216,820,216,,0,190,216
g361031591082,1092,3567,1035,,57,891,1092
g361031591083,369,1318,369,,0,369,369
g361031591084,362,946,329,,33,329,362
g361031591085,317,1157,317,,0,290,317
g361031592011,477,1342,477,,0,424,477
g361031592012,647,1914,604,,43,472,647
g361031592031,557,1348,557,,0,544,557
g361031592032,878,2337,851,,27,778,878
g361031592033,718,1872,632,,86,438,718
g361031592041,312,862,292,,20,227,312
g361031592042,265,757,239,,26,239,265
g361031592043,558,1558,484,,74,317,558
g361031592044,428,825,348,,80,340,428
g361031593001,458,586,327,,131,240,458
g361031593002,714,1384,640,,74,537,714
g361031594041,692,1475,675,,17,104,692
g361031594042,226,688,226,,0,190,226
g361031594043,695,1908,647,,48,335,695
g361031594044,701,1974,645,,56,497,701
g361031594045,382,1445,382,,0,247,382
g361031594061,494,1190,446,,48,252,494
g361031594062,648,1463,621,,27,195,648
g361031594063,541,1605,477,,64,369,541
g361031594071,824,2951,797,,27,674,824
g361031594072,483,1522,462,,21,395,483
g361031594073,796,2199,739,,57,711,796
g361031594081,979,2962,903,,76,787,979
g361031594082,377,1198,377,,0,292,377
g361031594101,466,1385,466,,0,466,466
g361031594102,744,1749,744,,0,565,744
g361031594103,1402,5262,1387,,15,1316,1402
g361031594111,592,2113,588,,4,576,592
g361031594112,447,1436,447,,0,398,447
g361031594121,260,978,260,,0,260,260
g361031594122,826,1889,826,,0,714,826
g361031594123,1198,2856,1037,,161,1008,1198
g361031594124,914,1799,753,,161,283,914
g361031595051,611,1719,503,,108,441,611
g361031595052,699,1857,652,,47,331,699
g361031595053,456,1172,367,,89,350,456
g361031595054,446,1923,408,,38,394,446
g361031595055,577,2213,577,,0,569,577
g361031595061,748,2160,689,,59,451,748
g361031595062,966,2541,757,,209,637,966
g361031595063,450,1526,450,,0,386,450
g361031595064,829,2311,747,,82,557,829
g361031595081,632,2044,577,,55,483,632
g361031595082,623,1532,581,,42,440,623
g361031595083,893,2252,749,,144,357,893
g361031595084,693,1898,652,,41,535,693
g361031595091,458,632,260,,198,209,458
g361031595092,550,963,373,,177,230,550
g361031595093,308,941,308,,0,161,308
g361031595101,1639,201,71,,1568,58,1639
g361031595102,320,12,3,,317,3,320
g361031595111,667,2298,602,,65,480,667
g361031595112,527,1608,518,,9,433,527
g361031595113,424,1189,424,,0,260,424
g361031595114,672,1879,637,,35,563,672
g361031595121,721,2519,690,,31,524,721
g361031596011,573,1573,501,,72,458,573
g361031596012,507,779,454,,53,454,507
g361031596013,345,953,302,,43,230,345
g361031596014,541,1309,506,,35,440,541
g361031596015,620,1733,586,,34,534,620
g361031596021,942,2407,866,,76,859,942
g361031596022,795,1649,604,,191,466,795
g361031697011,527,1304,424,,103,399,527
g361031697012,472,1181,386,,86,331,472
g361031697013,867,2068,789,,78,723,867
g361031697014,542,1462,476,,66,463,542
g361031697015,632,1679,632,,0,618,632
g361031697031,1180,1508,644,,536,595,1180
g361031697041,523,847,399,,124,302,523
g361031697042,430,1101,387,,43,353,430
g361031697043,678,2032,678,,0,262,678
g361031697044,735,1035,673,,62,621,735
g361031697045,346,433,301,,45,256,346
g361031697046,718,1584,662,,56,631,718
g361031698001,670,2149,646,,24,396,670
g361031698002,381,1081,381,,0,271,381
g361031698003,660,1732,542,,118,442,660
g361031698004,373,1169,373,,0,56,373
g361031699011,457,1478,457,,0,342,457
g361031699012,2083,4713,1850,,233,1056,2083
g361031699021,749,1574,670,,79,563,749
g361031699022,328,892,296,,32,250,328
g361031699023,749,681,268,,481,245,749
g361031699024,427,234,119,,308,104,427
g361031699025,774,1778,632,,142,419,774
g361031700011,871,1368,595,,276,580,871
g361031700012,934,1649,666,,268,493,934
g361031700013,398,619,257,,141,229,398
g361031700014,342,755,342,,0,208,342
g361031700015,794,1242,481,,313,449,794
g361031700021,518,452,262,,256,252,518
g361031700022,733,1086,444,,289,414,733
g361031700023,673,629,273,,400,273,673
g361031700024,452,1082,391,,61,263,452
g361031700025,575,703,306,,269,253,575
g361031701011,523,1046,388,,135,228,523
g361031701012,708,1323,518,,190,210,708
g361031702011,1098,1426,615,,483,569,1098
g361031702012,772,1282,535,,237,505,772
g361031702013,304,711,304,,0,289,304
g361031702014,562,607,234,,328,219,562
g361031702015,491,510,287,,204,194,491
g361031702016,533,1136,388,,145,318,533
g361031702017,354,651,255,,99,241,354
g361031702021,565,661,251,,314,144,565
g361031702022,755,296,132,,623,111,755
g361031702023,1049,932,450,,599,404,1049
g361031702024,840,713,359,,481,330,840
g361031702025,1098,1275,678,,420,587,1098
g361031803001,1668,1399,539,,1129,498,1668
g361031803002,1261,1270,524,,737,443,1261
g361031904011,404,1010,357,,47,346,404
g361031904012,254,470,205,,49,72,254
g361031904013,544,685,452,,92,427,544
g361031904014,0,3195,0,,0,0,0
g361031904015,360,1193,360,,0,159,360
g361031904016,559,941,333,,226,273,559
g361031904017,757,2900,712,,45,544,757
g361031904021,639,1409,449,,190,337,639
g361031904022,747,1096,407,,340,351,747
g361031904031,521,939,360,,161,264,521
g361031904032,473,955,325,,148,244,473
g361031904033,901,1541,660,,241,272,901
g361031905021,587,651,236,,351,197,587
g361031905022,645,942,406,,239,279,645
g361031905023,1784,875,443,,1341,348,1784
g361031905031,263,774,263,,0,168,263
g361031905032,417,1063,345,,72,231,417
g361031905033,583,781,348,,235,324,583
g361031905034,650,418,190,,460,160,650
g361031905041,973,585,236,,737,218,973
g361031905042,474,571,251,,223,188,474
g361031905043,344,598,227,,117,204,344
g361031906011,758,462,186,,572,163,758
g361031906012,558,899,379,,179,311,558
g361031906013,704,1220,451,,253,406,704
g361031906014,377,807,330,,47,300,377
g361031906015,423,468,181,,242,140,423
g361031906016,901,426,218,,683,176,901
g361031906031,731,933,404,,327,324,731
g361031906032,967,2189,727,,240,553,967
g361031906033,1004,1127,493,,511,398,1004
g361031906041,970,1868,744,,226,654,970
g361031906042,972,1478,622,,350,454,972
g361031906043,702,627,316,,386,185,702
g361031907041,668,1083,405,,263,287,668
g361031907042,1242,350,176,,1066,148,1242
g361031907043,639,232,111,,528,107,639
g361031907044,707,481,218,,489,180,707
g361031907045,973,825,341,,632,306,973
g361031907051,109,244,68,,41,60,109
g361031907052,961,1231,555,,406,394,961
g361031907053,592,329,155,,437,135,592
g361031907054,822,920,385,,437,294,822
g361031907055,492,1139,346,,146,168,492
g361031907061,1021,990,485,,536,411,1021
g361031907062,874,1322,551,,323,388,874
g361031907063,415,627,252,,163,241,415
g361031907064,469,671,276,,193,206,469
g361031907065,471,988,264,,207,160,471
g361031907071,1311,1380,542,,769,505,1311
g361031907072,899,1115,430,,469,296,899
g361031907073,470,552,253,,217,226,470
g361031907074,874,1048,376,,498,297,874
g361031907075,750,989,516,,234,499,750
g361031907081,769,924,381,,388,331,769
g361031907082,1100,1069,484,,616,339,1100
g361031908001,678,822,338,,340,201,678
g361031908002,648,1046,344,,304,297,648
g361031908003,885,683,321,,564,270,885
g361031908004,864,603,257,,607,140,864
g361032009011,620,681,336,,284,204,620
g361032009012,1274,478,254,,1020,220,1274
g361032009021,1512,1496,630,,882,558,1512
g361032009022,692,704,324,,368,291,692
g361032009023,686,1175,445,,241,259,686
g361032009024,527,600,269,,258,190,527
g361032009025,985,719,301,,684,223,985
g361032009026,1190,1709,715,,475,573,1190
g361032009027,869,885,357,,512,279,869
g361032010011,1066,1186,468,,598,418,1066
g361032010012,655,850,348,,307,263,655
g361032010013,859,1087,428,,431,410,859
g361032010014,952,750,353,,599,282,952
g361032010015,1051,1982,717,,334,524,1051
g361032010031,594,1488,521,,73,285,594
g361032010032,545,609,192,,353,174,545
g361032010033,640,172,95,,545,74,640
g361032010034,1297,746,310,,987,235,1297
g361032010035,808,938,402,,406,312,808
g361032010041,268,182,105,,163,95,268
g361032010042,770,657,311,,459,183,770
g361032010043,744,501,252,,492,216,744
g361032010044,556,521,234,,322,150,556
g361032010045,1082,1004,517,,565,465,1082
g361032010046,1182,606,323,,859,267,1182
g361032011001,591,2458,572,,19,498,591
g361032011002,401,1792,399,,2,308,401
g361032011003,0,482,0,,0,0,0
g361032011004,451,1822,434,,17,378,451
g361039901000,0,0,0,,0,0,0
