GEOID,B25034_010M,B25034_009M,B25034_008M,B25034_007M,B25034_006M,B25034_005M,B25034_004M,B25034_003M,B25034_002M
g361031471003,40,16,28,25,10,18,12,8,11
g361031472001,100,100,128,98,21,76,11,37,11
g361031472002,24,24,27,29,68,70,53,46,26
g361031472003,70,60,50,68,17,67,84,86,11
g361031472004,62,11,65,33,11,37,42,17,11
g361031472005,86,11,29,11,53,77,26,25,11
g361031473001,98,11,69,112,42,11,11,72,11
g361031473002,18,91,44,11,71,37,11,20,11
g361031473003,105,69,43,31,37,11,24,11,11
g361031473004,86,91,93,91,11,11,45,40,11
g361031473005,55,11,127,95,134,99,16,24,30
g361031473006,91,33,48,58,34,47,131,24,11
g361031474011,95,63,54,89,47,32,68,58,11
g361031474012,78,22,112,82,91,47,35,11,11
g361031474013,67,77,78,53,72,96,11,74,11
g361031474014,68,11,81,44,69,11,19,11,11
g361031474021,33,31,61,13,20,21,25,51,11
g361031474022,27,19,55,40,56,15,31,47,11
g361031474023,43,27,47,32,54,12,11,24,11
g361031475011,76,22,40,46,67,73,11,11,11
g361031475012,74,47,113,54,32,92,35,15,11
g361031475013,37,11,11,70,11,11,40,22,11
g361031475014,69,22,19,11,11,56,11,43,11
g361031475015,51,19,59,69,132,76,18,11,11
g361031475016,90,42,65,49,71,57,11,18,11
g361031475021,11,18,69,45,11,11,11,25,11
g361031475022,19,25,60,51,35,24,35,11,11
g361031475023,11,32,110,69,22,11,11,11,11
g361031475024,67,32,69,65,28,26,11,11,11
g361031475025,33,33,63,47,33,28,23,11,11
g361031475031,42,53,48,60,35,43,21,40,11
g361031476011,11,11,51,34,43,45,11,19,11
g361031476012,54,32,25,30,44,8,11,22,11
g361031476021,11,11,35,75,78,35,70,86,11
g361031476022,44,11,50,92,111,45,22,11,11
g361031476023,11,11,33,57,52,44,78,45,11
g361031476024,11,11,75,70,31,11,15,32,11
g361031477011,53,20,42,74,42,49,32,25,11
g361031477012,53,11,37,73,29,29,10,33,11
g361031477021,33,24,80,64,40,26,15,11,11
g361031477022,64,67,90,47,11,25,33,61,11
g361031477023,25,12,67,71,22,49,10,11,11
g361031477024,49,31,25,25,11,14,15,40,11
g361031478021,43,41,56,36,19,14,11,11,11
g361031478022,72,25,52,42,17,20,11,11,11
g361031478023,80,28,51,31,45,11,20,11,11
g361031478031,20,16,52,22,22,73,68,61,11
g361031478032,43,18,35,33,14,26,48,11,11
g361031478041,38,11,77,97,37,12,15,11,11
g361031478042,65,13,32,50,50,11,11,11,11
g361031478043,20,11,21,56,50,20,14,11,11
g361031478044,14,19,40,59,57,31,18,11,11
g361031479011,35,11,71,55,54,29,55,37,11
g361031479012,30,11,13,36,36,26,74,117,16
g361031479013,15,15,17,79,85,52,72,58,11
g361031479021,31,38,15,27,27,20,14,11,11
g361031479022,35,44,58,57,30,24,11,48,11
g361031479023,80,56,56,32,11,52,13,11,11
g361031479024,66,33,35,34,17,36,21,16,11
g361031580011,23,24,19,24,33,25,24,11,11
g361031580012,41,19,22,16,6,21,19,12,11
g361031580013,38,42,56,41,26,18,16,14,11
g361031580014,74,16,26,14,30,25,39,15,11
g361031580015,23,11,11,38,19,21,38,11,11
g361031580021,59,11,49,77,27,34,11,36,11
g361031580022,11,11,110,78,38,52,29,11,11
g361031580023,104,31,102,43,40,62,40,24,11
g361031580024,77,24,85,24,36,11,11,55,11
g361031580025,35,21,53,64,41,20,24,11,11
g361031580026,11,26,92,64,42,49,37,11,11
g361031580061,11,11,24,115,50,64,25,26,11
g361031580062,11,11,48,116,76,87,31,11,11
g361031580063,69,67,11,81,46,31,11,11,11
g361031580064,11,11,63,36,11,21,11,15,11
g361031580071,11,11,11,11,11,11,11,11,11
g361031580072,10,13,16,6,11,11,11,11,11
g361031580073,11,11,11,11,13,11,11,11,11
g361031580074,11,11,11,11,11,11,11,11,11
g361031580091,11,6,30,47,18,39,31,7,11
g361031580092,11,11,15,61,14,11,25,8,11
g361031580101,22,16,25,80,56,101,14,11,11
g361031580102,11,11,26,67,27,27,22,11,11
g361031580103,11,11,11,59,43,23,11,11,11
g361031580111,11,11,34,65,17,41,66,60,11
g361031580112,11,11,11,58,42,31,67,49,11
g361031580113,11,11,22,84,88,18,36,11,11
g361031581021,34,12,55,101,80,79,36,43,11
g361031581022,11,11,19,49,100,98,62,11,11
g361031581031,66,91,75,92,40,67,87,46,11
g361031581032,11,34,56,79,56,8,17,15,11
g361031581041,11,11,42,69,64,66,47,39,11
g361031581042,11,46,88,47,11,15,11,11,11
g361031581043,8,23,81,73,24,50,11,11,11
g361031581071,13,41,26,53,40,17,35,61,11
g361031581072,45,25,60,69,86,21,40,47,11
g361031581081,15,13,18,65,55,33,50,69,11
g361031581101,13,11,33,72,72,19,34,23,11
g361031581102,14,41,45,74,72,35,11,11,11
g361031581111,11,11,21,69,38,15,11,10,11
g361031581112,11,12,40,65,41,11,11,11,11
g361031581121,35,10,86,90,57,26,45,11,11
g361031581122,15,11,38,105,89,64,11,11,11
g361031581141,11,15,71,96,93,35,29,65,11
g361031581151,11,11,60,116,96,29,71,111,11
g361031581152,11,25,23,117,65,11,11,11,11
g361031581153,11,11,31,118,95,11,11,47,11
g361031581161,37,11,10,36,53,35,29,52,11
g361031581162,23,11,8,15,43,32,8,28,11
g361031582021,90,49,93,74,76,18,11,11,11
g361031582022,113,44,69,107,117,39,82,60,11
g361031582023,11,11,24,111,74,25,47,52,11
g361031582024,11,11,19,93,38,23,11,11,11
g361031582025,29,19,100,112,11,28,77,88,11
g361031582031,33,18,44,44,51,27,10,11,11
g361031582051,38,13,15,11,11,36,43,16,11
g361031582052,9,11,16,27,41,37,28,34,11
g361031582061,77,12,28,52,44,35,48,14,11
g361031582062,69,11,27,44,11,19,53,11,11
g361031582063,76,13,22,30,32,42,40,66,11
g361031582071,22,15,14,24,27,28,6,11,5
g361031582072,53,11,30,51,87,61,13,23,11
g361031582073,11,16,14,11,17,60,61,11,11
g361031582074,14,10,63,57,69,56,25,9,11
g361031583041,65,36,78,57,87,119,32,11,11
g361031583042,92,35,27,38,104,47,57,70,35
g361031583043,55,45,21,107,113,103,11,11,11
g361031583044,38,43,57,28,127,85,28,11,11
g361031583061,11,76,63,68,82,57,96,85,11
g361031583062,11,11,11,29,83,59,11,89,11
g361031583063,11,11,30,33,95,11,11,11,11
g361031583081,11,25,11,111,28,72,75,53,11
g361031583082,65,11,11,102,133,25,95,33,11
g361031583083,29,11,63,127,120,80,40,84,11
g361031583084,54,32,65,116,84,81,81,11,11
g361031583091,16,58,21,141,132,44,24,34,11
g361031583092,13,11,22,13,85,93,83,46,11
g361031583101,16,24,62,49,73,14,15,22,11
g361031583102,17,23,60,11,27,39,80,66,11
g361031583151,11,11,11,25,124,109,40,11,11
g361031583152,29,11,28,50,97,63,68,11,11
g361031583171,134,38,90,90,62,49,85,96,11
g361031583172,101,101,103,64,127,31,52,11,11
g361031583173,11,47,63,68,50,46,101,83,11
g361031583181,72,52,75,47,61,40,27,11,11
g361031583182,64,15,25,48,50,37,44,21,11
g361031583183,12,16,32,65,83,24,50,11,11
g361031583191,11,11,11,87,88,34,23,11,11
g361031583192,11,11,33,33,72,15,14,36,11
g361031583193,11,11,11,85,41,11,11,11,11
g361031583201,11,11,15,26,36,58,76,91,11
g361031583202,11,11,11,40,146,37,66,11,11
g361031583203,11,11,11,63,147,85,79,11,11
g361031583204,11,11,27,11,84,62,73,11,11
g361031583211,20,11,11,68,60,90,167,181,69
g361031583212,40,11,11,31,95,100,59,62,11
g361031583213,11,11,35,118,46,42,11,11,11
g361031583214,11,11,40,109,159,87,169,126,11
g361031583221,56,11,18,19,14,39,41,69,11
g361031583231,20,11,26,12,84,11,11,77,11
g361031583232,34,34,37,58,123,52,71,11,11
g361031583233,11,11,41,52,99,67,28,97,11
g361031583234,11,44,11,38,141,53,130,104,11
g361031584011,17,11,33,41,42,17,49,24,11
g361031584021,18,18,60,53,72,46,43,12,11
g361031584022,28,11,14,27,19,7,7,8,11
g361031584023,11,14,50,53,53,29,46,11,11
g361031584031,9,11,28,40,67,25,19,42,11
g361031584032,11,9,29,29,60,26,30,11,32
g361031584051,11,51,96,30,73,45,76,46,11
g361031584052,11,11,11,47,29,34,56,11,11
g361031584053,11,14,26,40,39,23,56,54,11
g361031584071,90,37,21,86,58,81,48,36,11
g361031584072,47,58,113,76,85,28,62,11,11
g361031584073,62,88,64,105,96,11,55,11,11
g361031584074,75,71,103,74,26,25,102,37,31
g361031584081,71,62,66,53,82,56,56,53,11
g361031584082,64,63,66,56,57,70,18,11,11
g361031584091,11,11,13,55,103,99,70,35,11
g361031584092,21,11,14,25,108,82,11,11,11
g361031584093,11,11,12,15,65,69,81,22,11
g361031584101,40,11,11,11,20,96,90,62,11
g361031584102,11,11,27,63,130,51,34,11,11
g361031584103,11,36,25,81,129,38,25,26,11
g361031585021,50,52,85,36,59,13,38,33,11
g361031585022,38,11,50,45,46,11,26,11,11
g361031585023,44,22,48,82,78,59,76,40,14
g361031585051,44,34,59,84,58,48,25,63,11
g361031585052,14,10,34,51,28,11,51,11,11
g361031585053,15,11,26,55,69,13,40,11,11
g361031585061,24,28,73,48,38,24,24,19,11
g361031585062,31,29,28,30,34,26,26,11,11
g361031585071,11,22,20,59,52,31,9,9,11
g361031585072,11,53,55,75,42,33,48,11,11
g361031585073,29,22,75,83,31,11,21,21,11
g361031585081,11,27,25,90,14,19,22,26,11
g361031585082,11,11,72,64,97,22,40,11,11
g361031585083,11,11,17,76,65,35,22,13,11
g361031585084,11,41,35,53,31,16,51,19,11
g361031585085,11,56,11,58,48,66,24,24,11
g361031585091,60,11,65,72,56,18,11,43,11
g361031585092,58,73,77,52,71,58,15,11,11
g361031585093,72,45,66,77,86,46,92,11,11
g361031585101,54,42,30,143,107,119,68,86,11
g361031585102,38,11,54,44,91,56,11,14,11
g361031585103,11,14,61,63,100,104,55,22,11
g361031585104,53,29,61,80,61,38,39,37,11
g361031585111,11,11,52,54,81,50,66,10,11
g361031585112,21,50,72,87,60,61,18,23,11
g361031585113,32,29,107,34,60,16,26,30,11
g361031585121,12,26,70,63,69,35,17,36,11
g361031585122,11,11,39,62,81,29,26,11,11
g361031586041,37,30,86,47,50,15,11,11,11
g361031586042,35,48,26,59,11,46,12,33,11
g361031586043,21,59,88,69,75,26,34,25,11
g361031586051,10,57,41,101,58,23,43,40,11
g361031586052,11,38,87,70,58,40,44,9,11
g361031586061,11,11,58,70,77,36,46,11,15
g361031586062,22,11,57,82,45,52,9,11,11
g361031586063,49,42,54,26,60,42,7,11,11
g361031586071,19,11,53,76,99,52,71,44,24
g361031586072,55,82,57,24,60,54,11,11,11
g361031586081,53,31,13,57,43,43,11,11,11
g361031586082,41,11,48,69,68,19,12,11,11
g361031586083,83,32,56,43,57,11,19,26,11
g361031586091,53,85,75,53,88,26,11,44,11
g361031586092,47,11,77,80,48,33,11,11,11
g361031586093,9,14,19,29,66,17,30,48,15
g361031587041,11,11,39,97,75,81,119,53,11
g361031587042,37,11,11,51,24,121,63,115,11
g361031587043,54,33,11,107,155,37,88,87,11
g361031587044,50,11,50,83,164,53,176,122,50
g361031587045,11,11,11,36,112,101,31,11,11
g361031587051,27,11,61,43,56,38,65,50,11
g361031587052,18,34,43,35,55,65,81,60,11
g361031587053,11,36,48,63,19,22,37,57,11
g361031587071,32,45,55,36,25,27,18,33,24
g361031587081,18,11,11,59,55,106,15,11,11
g361031587082,11,17,11,91,84,115,18,12,11
g361031587083,30,11,14,38,52,15,72,11,11
g361031587091,24,21,37,21,67,72,30,52,11
g361031587101,23,11,20,12,70,85,14,23,11
g361031587102,21,23,49,35,55,19,31,11,11
g361031587103,23,37,47,38,41,72,78,11,11
g361031587104,11,68,11,36,11,47,11,11,11
g361031587111,11,38,11,83,71,64,37,38,11
g361031587112,26,11,11,70,139,43,29,14,11
g361031587113,7,109,86,61,47,21,86,134,11
g361031587121,11,11,42,119,90,54,25,11,11
g361031587122,11,11,41,87,126,11,93,62,27
g361031587123,31,50,20,68,39,65,39,11,21
g361031587124,25,75,21,114,27,11,11,11,88
g361031587125,37,11,88,115,90,125,11,11,11
g361031588021,47,45,70,72,27,28,33,59,11
g361031588022,60,34,79,40,36,11,18,51,11
g361031588023,33,11,43,73,58,44,53,11,11
g361031588031,11,11,11,11,68,86,79,45,11
g361031588032,15,28,11,23,100,53,39,87,11
g361031588033,44,11,21,36,61,29,83,73,11
g361031588034,11,11,11,26,98,93,11,11,11
g361031588041,11,104,87,88,72,44,11,11,21
g361031588042,87,59,88,11,28,25,11,11,11
g361031588043,59,21,56,55,74,58,11,36,11
g361031588044,26,11,11,77,90,79,18,11,11
g361031588045,70,73,80,35,44,11,11,11,11
g361031588046,11,11,50,40,87,59,71,34,11
g361031589001,130,29,127,11,104,22,11,11,11
g361031589002,72,32,109,93,124,31,11,47,27
g361031589003,94,11,34,43,60,11,11,11,11
g361031589004,69,26,77,43,92,87,21,27,11
g361031589005,79,23,89,90,119,31,11,70,11
g361031590001,92,53,66,72,57,18,17,15,11
g361031590002,85,50,75,11,44,17,43,11,11
g361031590003,30,10,24,64,118,57,66,49,20
g361031591021,11,31,81,55,22,24,54,122,11
g361031591022,100,62,96,88,64,65,11,11,11
g361031591023,64,56,97,48,49,11,11,11,11
g361031591024,31,18,88,93,96,11,101,66,11
g361031591025,49,36,97,31,132,42,23,11,11
g361031591031,21,11,32,32,19,11,36,56,11
g361031591032,37,12,49,77,65,41,11,37,11
g361031591033,20,19,41,85,103,81,25,46,11
g361031591034,11,24,54,58,98,38,47,69,14
g361031591051,26,11,37,99,109,37,29,11,11
g361031591052,29,11,84,115,144,62,34,11,11
g361031591053,11,11,11,18,135,108,63,18,11
g361031591054,27,11,28,29,73,128,55,11,11
g361031591061,24,11,11,14,74,42,55,11,11
g361031591062,62,11,11,11,86,72,115,138,11
g361031591063,25,11,34,49,58,13,57,47,17
g361031591071,11,43,24,43,72,66,34,13,11
g361031591072,50,23,60,39,34,30,24,14,11
g361031591073,24,11,41,33,54,46,25,45,11
g361031591081,29,11,24,76,52,17,17,11,11
g361031591082,11,52,11,62,156,54,86,36,11
g361031591083,11,11,11,92,80,18,11,11,11
g361031591084,36,11,50,53,73,19,67,11,11
g361031591085,47,11,18,18,81,51,29,38,11
g361031592011,59,30,43,24,25,66,15,77,11
g361031592012,94,80,59,33,54,64,11,19,11
g361031592031,74,61,84,47,48,57,39,44,11
g361031592032,24,62,100,94,111,42,32,23,11
g361031592033,23,75,140,50,47,99,76,33,11
g361031592041,13,18,57,32,51,29,26,25,11
g361031592042,11,14,13,43,54,23,11,29,11
g361031592043,60,75,62,67,40,53,57,23,11
g361031592044,26,22,58,27,64,22,42,13,11
g361031593001,63,14,42,45,35,26,10,10,11
g361031593002,32,39,54,43,44,11,6,11,11
g361031594041,52,21,11,15,69,129,50,126,11
g361031594042,21,11,66,11,52,11,11,51,11
g361031594043,31,73,11,118,183,11,141,60,11
g361031594044,99,11,103,11,127,49,104,81,11
g361031594045,77,11,49,17,40,93,96,31,11
g361031594061,46,11,44,18,73,43,50,47,39
g361031594062,77,11,50,14,24,21,87,77,11
g361031594063,42,11,19,11,57,33,72,78,11
g361031594071,14,13,28,34,102,121,32,50,11
g361031594072,11,11,66,42,68,49,31,30,11
g361031594073,11,26,48,19,139,72,47,65,11
g361031594081,28,33,77,90,104,74,27,68,16
g361031594082,11,17,59,52,38,58,51,18,11
g361031594101,47,11,25,63,82,60,85,29,87
g361031594102,42,30,47,43,118,79,89,66,29
g361031594103,16,16,16,16,79,63,168,147,16
g361031594111,11,11,26,39,85,60,31,39,11
g361031594112,12,11,18,11,69,74,25,29,11
g361031594121,39,11,11,11,39,58,79,41,11
g361031594122,11,11,61,28,11,66,119,123,11
g361031594123,11,20,11,84,125,134,107,71,11
g361031594124,19,11,16,86,161,94,63,80,11
g361031595051,11,25,74,35,94,103,22,78,11
g361031595052,11,28,83,80,172,26,72,94,11
g361031595053,11,11,32,62,93,52,72,11,11
g361031595054,11,11,32,84,93,73,50,30,11
g361031595055,11,11,129,56,94,96,74,29,11
g361031595061,22,11,86,60,93,119,26,125,24
g361031595062,33,30,68,33,116,86,120,105,11
g361031595063,26,11,21,20,94,88,23,42,11
g361031595064,22,31,99,58,156,79,104,41,11
g361031595081,11,100,61,66,79,54,48,42,11
g361031595082,110,34,65,33,89,31,74,55,61
g361031595083,177,41,90,133,122,11,28,30,11
g361031595084,58,102,108,43,84,124,11,81,11
g361031595091,66,65,69,44,13,36,11,14,11
g361031595092,70,74,71,27,61,17,41,13,11
g361031595093,66,15,44,31,30,59,37,29,11
g361031595101,88,17,98,85,89,53,20,48,21
g361031595102,43,11,70,47,18,7,7,6,3
g361031595111,32,11,60,119,125,53,71,19,11
g361031595112,7,54,66,26,75,27,52,61,4
g361031595113,26,39,85,92,101,14,45,21,11
g361031595114,60,77,106,87,89,32,37,51,11
g361031595121,25,20,83,54,89,77,17,22,11
g361031596011,22,54,66,96,55,64,78,11,11
g361031596012,11,11,29,52,31,69,72,48,11
g361031596013,99,11,36,74,20,11,12,24,11
g361031596014,37,11,44,127,125,11,28,46,11
g361031596015,94,39,52,88,72,37,41,11,11
g361031596021,31,11,21,74,93,92,73,68,11
g361031596022,75,11,42,69,83,58,31,30,11
g361031697011,73,11,19,46,99,11,86,69,11
g361031697012,18,63,116,28,133,22,25,11,11
g361031697013,37,65,75,125,36,48,139,69,11
g361031697014,11,11,11,45,38,86,106,59,11
g361031697015,20,11,62,91,85,56,76,56,11
g361031697031,74,88,96,32,66,86,63,89,13
g361031697041,42,11,42,52,94,58,77,91,11
g361031697042,11,11,11,11,11,111,70,39,62
g361031697043,123,11,40,52,39,74,114,50,11
g361031697044,11,11,27,67,116,119,61,68,29
g361031697045,29,11,11,66,33,107,71,78,11
g361031697046,11,11,11,26,61,104,64,111,11
g361031698001,92,113,146,87,15,11,22,33,11
g361031698002,67,79,47,37,23,41,12,11,11
g361031698003,44,49,103,80,31,27,11,67,15
g361031698004,105,36,58,52,71,15,11,11,11
g361031699011,65,27,72,113,120,11,11,37,11
g361031699012,22,11,36,55,16,162,189,210,86
g361031699021,81,11,78,79,120,11,95,133,32
g361031699022,24,11,33,81,75,107,83,31,11
g361031699023,176,123,11,102,66,114,76,11,11
g361031699024,27,11,65,106,32,68,118,28,11
g361031699025,46,11,103,87,87,66,148,146,11
g361031700011,141,65,97,102,50,133,97,18,11
g361031700012,94,104,194,53,110,45,25,11,11
g361031700013,78,11,11,53,39,102,43,19,11
g361031700014,36,61,94,95,11,11,86,11,11
g361031700015,127,105,30,48,124,48,74,52,11
g361031700021,64,50,11,45,69,69,46,49,11
g361031700022,70,14,68,80,43,74,93,52,11
g361031700023,83,39,66,45,93,80,56,36,11
g361031700024,83,27,86,16,32,47,40,60,11
g361031700025,86,21,20,25,30,46,34,23,11
g361031701011,77,19,33,25,26,34,18,11,11
g361031701012,89,48,18,11,11,33,12,35,11
g361031702011,11,95,55,102,130,111,89,143,11
g361031702012,45,83,73,90,92,86,11,58,11
g361031702013,49,25,23,29,82,11,82,40,11
g361031702014,80,63,20,66,111,89,33,81,11
g361031702015,50,25,41,79,59,68,62,38,11
g361031702016,69,46,22,100,61,50,36,76,11
g361031702017,88,11,11,33,56,67,11,70,11
g361031702021,59,22,81,26,82,34,18,76,11
g361031702022,71,19,71,31,19,28,26,28,11
g361031702023,63,18,44,50,61,50,38,76,11
g361031702024,58,27,20,28,40,35,42,45,11
g361031702025,23,25,67,31,45,37,71,120,37
g361031803001,92,37,66,95,102,100,122,97,11
g361031803002,131,23,47,69,62,135,69,60,16
g361031904011,115,11,68,56,20,50,11,85,11
g361031904012,58,11,54,38,79,89,11,56,11
g361031904013,11,36,51,54,146,42,11,35,75
g361031904014,11,11,11,11,11,11,11,11,11
g361031904015,31,11,124,120,11,42,63,33,11
g361031904016,23,64,108,131,23,36,63,11,11
g361031904017,109,54,65,144,124,140,11,113,11
g361031904021,23,11,52,61,59,47,54,50,14
g361031904022,14,11,22,77,55,49,56,82,11
g361031904031,83,20,13,55,22,66,79,29,11
g361031904032,53,13,50,73,21,63,45,25,11
g361031904033,50,16,42,78,116,84,79,16,11
g361031905021,45,39,38,68,35,50,80,62,11
g361031905022,53,19,42,46,40,35,22,23,4
g361031905023,80,47,79,96,80,82,47,32,6
g361031905031,19,27,49,17,23,35,35,32,11
g361031905032,30,5,9,44,11,67,79,18,11
g361031905033,45,17,45,35,59,42,47,35,11
g361031905034,65,30,33,47,54,49,32,54,11
g361031905041,25,14,88,77,49,70,90,75,11
g361031905042,70,24,22,47,22,26,34,79,11
g361031905043,39,24,26,12,39,14,45,37,11
g361031906011,42,25,11,5,49,90,30,54,11
g361031906012,46,14,29,43,72,76,56,78,30
g361031906013,25,43,28,54,101,54,58,55,11
g361031906014,11,11,40,30,91,36,64,18,11
g361031906015,60,20,87,43,58,26,63,11,11
g361031906016,62,11,50,37,56,64,38,58,11
g361031906031,60,42,23,101,125,61,44,13,11
g361031906032,115,19,42,70,95,102,53,100,11
g361031906033,55,19,71,97,118,101,11,83,48
g361031906041,50,83,67,84,82,73,41,119,11
g361031906042,27,14,69,134,98,37,75,103,11
g361031906043,57,83,97,77,79,111,32,11,11
g361031907041,13,11,6,99,67,96,95,16,11
g361031907042,85,21,35,32,54,85,82,44,11
g361031907043,46,25,19,25,14,45,39,38,11
g361031907044,74,15,40,47,22,43,63,53,11
g361031907045,140,61,62,20,93,61,87,86,11
g361031907051,10,6,6,11,17,18,12,11,11
g361031907052,48,27,121,55,85,91,51,69,63
g361031907053,23,89,89,49,75,63,49,16,11
g361031907054,52,53,113,98,58,75,47,13,11
g361031907055,17,11,44,25,35,80,85,34,11
g361031907061,67,51,60,85,93,72,54,108,11
g361031907062,28,69,98,90,61,83,85,74,11
g361031907063,73,22,11,51,76,33,60,49,11
g361031907064,60,17,33,65,53,72,26,73,11
g361031907065,94,11,12,63,8,92,21,62,11
g361031907071,64,11,121,35,131,116,91,103,11
g361031907072,79,71,96,81,98,59,74,38,11
g361031907073,11,28,36,64,48,54,106,35,11
g361031907074,20,11,109,110,109,85,24,57,21
g361031907075,74,74,38,84,100,72,95,49,11
g361031907081,25,21,33,43,28,39,48,34,4
g361031907082,112,27,61,42,92,97,22,52,8
g361031908001,127,72,59,70,51,76,15,20,11
g361031908002,101,65,52,21,54,46,79,60,17
g361031908003,123,42,83,69,77,53,85,25,11
g361031908004,140,11,62,92,52,56,85,58,53
g361032009011,60,10,47,18,17,32,16,16,11
g361032009012,85,41,46,63,41,35,50,62,24
g361032009021,46,11,99,113,156,157,191,84,11
g361032009022,11,11,32,15,108,117,127,86,11
g361032009023,129,11,60,93,96,118,45,46,11
g361032009024,68,11,11,36,69,127,26,33,79
g361032009025,49,17,37,36,51,62,83,42,11
g361032009026,140,11,81,38,104,159,191,83,11
g361032009027,66,11,107,80,53,43,67,55,11
g361032010011,103,80,125,35,157,80,118,88,11
g361032010012,48,25,11,55,164,84,76,56,11
g361032010013,127,95,46,84,73,151,65,11,11
g361032010014,40,11,86,93,156,141,123,55,11
g361032010015,27,29,22,92,66,133,150,156,11
g361032010031,77,15,29,64,47,36,74,83,11
g361032010032,45,19,11,16,36,69,44,56,11
g361032010033,29,16,42,61,49,51,53,49,13
g361032010034,58,60,72,74,59,59,52,50,13
g361032010035,43,32,46,75,64,56,110,89,11
g361032010041,11,16,19,15,24,41,69,59,11
g361032010042,102,11,26,103,85,73,90,73,11
g361032010043,40,40,70,104,78,94,63,28,11
g361032010044,54,51,46,45,94,75,43,24,11
g361032010045,62,63,63,94,60,103,122,88,11
g361032010046,11,70,80,98,104,117,90,79,11
g361032011001,12,11,83,87,104,11,30,11,11
g361032011002,8,11,80,83,11,11,12,11,11
g361032011003,11,11,11,11,11,11,11,11,11
g361032011004,34,38,59,59,71,25,11,11,11
g361039901000,11,11,11,11,11,11,11,11,11
