GEOID,B03002_003M,B03002_004M,B03002_012M,B03002_006M
g361031470041,72,11,12,5
g361031471001,153,14,22,91
g361031471002,141,10,54,14
g361031471003,132,11,87,8
g361031472001,248,423,878,206
g361031472002,143,38,158,11
g361031472003,264,126,428,11
g361031472004,194,268,125,29
g361031472005,258,88,142,11
g361031473001,271,76,511,11
g361031473002,333,62,75,11
g361031473003,249,234,311,163
g361031473004,113,587,336,11
g361031473005,109,211,513,11
g361031473006,277,62,294,11
g361031474011,358,40,81,49
g361031474012,236,41,153,29
g361031474013,275,477,434,11
g361031474014,215,132,98,47
g361031474021,148,11,59,11
g361031474022,201,11,57,65
g361031474023,158,11,77,17
g361031475011,351,11,133,11
g361031475012,496,11,137,11
g361031475013,176,11,279,11
g361031475014,372,11,43,11
g361031475015,621,2,91,11
g361031475016,331,97,147,11
g361031475021,261,6,49,27
g361031475022,281,11,11,11
g361031475023,347,11,102,22
g361031475024,427,11,52,11
g361031475025,226,11,57,47
g361031475031,260,3,50,68
g361031476011,192,31,177,19
g361031476012,220,11,53,11
g361031476021,366,58,18,57
g361031476022,322,11,114,25
g361031476023,225,7,23,280
g361031476024,326,9,109,11
g361031477011,252,19,75,75
g361031477012,166,11,67,50
g361031477021,257,11,51,39
g361031477022,199,11,60,51
g361031477023,322,11,175,7
g361031477024,227,11,17,11
g361031478021,198,11,99,11
g361031478022,284,2,89,11
g361031478023,213,11,109,11
g361031478031,207,11,97,11
g361031478032,172,60,66,34
g361031478041,336,11,25,33
g361031478042,244,11,70,11
g361031478043,252,7,45,38
g361031478044,196,15,8,11
g361031479011,320,11,92,25
g361031479012,153,20,46,11
g361031479013,365,89,113,42
g361031479021,177,11,11,38
g361031479022,345,11,79,11
g361031479023,333,14,227,35
g361031479024,234,11,13,11
g361031580011,124,11,17,56
g361031580012,123,11,21,47
g361031580013,149,11,18,28
g361031580014,217,11,73,39
g361031580015,94,36,74,30
g361031580021,269,11,126,46
g361031580022,161,5,197,81
g361031580023,414,108,11,106
g361031580024,402,11,91,44
g361031580025,248,11,11,34
g361031580026,327,11,11,41
g361031580061,362,11,129,239
g361031580062,363,111,232,192
g361031580063,341,7,26,191
g361031580064,170,62,71,42
g361031580071,185,77,80,288
g361031580072,196,28,32,103
g361031580073,106,30,53,84
g361031580074,358,137,137,297
g361031580091,208,11,11,56
g361031580092,190,11,72,60
g361031580101,269,81,102,156
g361031580102,238,11,11,181
g361031580103,172,11,11,41
g361031580111,234,119,61,55
g361031580112,303,11,14,126
g361031580113,234,11,29,20
g361031581021,363,60,329,199
g361031581022,344,61,238,41
g361031581031,380,212,262,56
g361031581032,241,171,232,52
g361031581041,341,168,102,190
g361031581042,255,11,150,24
g361031581043,372,73,95,40
g361031581071,233,11,149,55
g361031581072,303,14,278,70
g361031581081,270,37,106,247
g361031581101,332,11,236,45
g361031581102,414,11,91,93
g361031581111,220,67,128,11
g361031581112,216,44,143,41
g361031581121,328,112,183,111
g361031581122,340,11,339,158
g361031581141,284,28,218,24
g361031581151,546,26,123,166
g361031581152,358,538,136,158
g361031581153,463,11,68,11
g361031581161,184,93,68,199
g361031581162,144,28,77,98
g361031582021,388,11,540,11
g361031582022,590,142,598,94
g361031582023,351,22,251,116
g361031582024,381,11,127,21
g361031582025,495,11,270,198
g361031582031,141,33,24,96
g361031582051,176,11,21,20
g361031582052,176,11,88,17
g361031582061,244,15,72,19
g361031582062,254,51,51,35
g361031582063,240,11,188,40
g361031582071,153,11,21,27
g361031582072,278,24,152,90
g361031582073,142,17,27,35
g361031582074,225,35,83,81
g361031583041,395,11,42,11
g361031583042,336,6,570,38
g361031583043,460,11,119,21
g361031583044,317,11,11,11
g361031583061,405,64,155,41
g361031583062,251,11,19,175
g361031583063,327,11,321,12
g361031583081,553,11,132,128
g361031583082,510,170,360,72
g361031583083,497,13,424,19
g361031583084,444,11,304,11
g361031583091,404,275,162,92
g361031583092,232,88,257,34
g361031583101,211,187,99,62
g361031583102,344,26,72,48
g361031583151,317,120,101,10
g361031583152,308,130,234,107
g361031583171,455,11,178,147
g361031583172,408,11,378,43
g361031583173,391,11,318,11
g361031583181,427,14,32,17
g361031583182,212,11,161,11
g361031583183,282,11,57,11
g361031583191,340,285,123,16
g361031583192,187,56,46,164
g361031583193,253,29,139,51
g361031583201,389,11,140,91
g361031583202,420,11,105,71
g361031583203,208,11,112,11
g361031583204,422,61,11,11
g361031583211,432,264,381,888
g361031583212,302,129,246,133
g361031583213,364,11,307,11
g361031583214,607,244,255,253
g361031583221,255,224,41,138
g361031583231,428,8,140,11
g361031583232,391,11,105,11
g361031583233,465,39,120,44
g361031583234,411,87,11,203
g361031584011,139,11,79,28
g361031584021,297,13,147,43
g361031584022,97,11,36,11
g361031584023,277,11,154,28
g361031584031,190,55,109,9
g361031584032,150,93,71,61
g361031584051,320,11,122,76
g361031584052,226,11,137,11
g361031584053,265,11,85,70
g361031584071,311,10,112,11
g361031584072,469,11,359,11
g361031584073,448,11,34,11
g361031584074,495,11,94,11
g361031584081,357,11,205,11
g361031584082,279,11,104,11
g361031584091,418,158,96,180
g361031584092,464,26,22,11
g361031584093,315,11,128,11
g361031584101,247,11,11,11
g361031584102,233,32,11,11
g361031584103,268,47,11,11
g361031585021,298,11,140,12
g361031585022,298,14,92,11
g361031585023,200,29,72,11
g361031585051,491,73,261,77
g361031585052,231,11,33,11
g361031585053,106,33,113,71
g361031585061,228,6,303,24
g361031585062,153,7,13,6
g361031585071,191,11,128,87
g361031585072,194,55,177,96
g361031585073,401,27,177,100
g361031585081,226,11,305,11
g361031585082,302,104,174,70
g361031585083,351,11,95,11
g361031585084,188,3,3,46
g361031585085,290,41,138,11
g361031585091,257,136,46,13
g361031585092,251,87,200,58
g361031585093,326,79,426,125
g361031585101,519,11,185,35
g361031585102,264,283,286,83
g361031585103,594,2,137,87
g361031585104,372,11,157,11
g361031585111,332,61,121,26
g361031585112,435,56,247,68
g361031585113,322,64,471,63
g361031585121,313,11,93,118
g361031585122,253,61,441,30
g361031586041,304,11,206,90
g361031586042,328,9,60,11
g361031586043,325,54,210,149
g361031586051,345,128,220,136
g361031586052,329,92,135,90
g361031586061,285,25,68,11
g361031586062,265,6,179,11
g361031586063,255,11,176,212
g361031586071,276,29,175,43
g361031586072,259,167,229,63
g361031586081,223,19,92,30
g361031586082,225,11,79,155
g361031586083,297,4,96,122
g361031586091,342,42,188,148
g361031586092,346,11,32,20
g361031586093,197,162,153,39
g361031587041,394,11,315,29
g361031587042,342,11,49,11
g361031587043,572,88,139,89
g361031587044,261,391,482,21
g361031587045,255,32,11,11
g361031587051,147,283,133,11
g361031587052,198,298,276,81
g361031587053,51,317,266,27
g361031587071,195,50,235,81
g361031587081,136,86,19,11
g361031587082,330,152,110,217
g361031587083,203,268,170,11
g361031587091,178,22,177,11
g361031587101,272,209,28,24
g361031587102,198,11,40,11
g361031587103,364,11,278,4
g361031587104,9,11,11,20
g361031587111,355,37,81,111
g361031587112,247,61,56,119
g361031587113,293,445,425,453
g361031587121,353,213,345,11
g361031587122,435,109,226,11
g361031587123,324,20,193,50
g361031587124,469,42,235,11
g361031587125,470,196,395,11
g361031588021,345,11,170,36
g361031588022,273,11,47,11
g361031588023,252,11,11,12
g361031588031,305,196,273,11
g361031588032,236,7,461,11
g361031588033,364,166,139,84
g361031588034,213,80,49,11
g361031588041,533,301,243,58
g361031588042,355,18,104,11
g361031588043,337,11,316,106
g361031588044,391,11,68,11
g361031588045,278,11,280,11
g361031588046,316,11,191,38
g361031589001,262,85,440,11
g361031589002,209,244,753,11
g361031589003,279,11,134,11
g361031589004,245,78,110,11
g361031589005,330,132,68,23
g361031590001,241,92,288,11
g361031590002,238,141,299,11
g361031590003,202,107,130,11
g361031591021,319,8,165,2
g361031591022,406,11,333,11
g361031591023,339,265,69,11
g361031591024,269,221,282,184
g361031591025,154,87,84,48
g361031591031,117,106,227,11
g361031591032,107,242,243,180
g361031591033,196,337,583,11
g361031591034,75,391,418,104
g361031591051,397,115,204,214
g361031591052,365,71,226,49
g361031591053,410,266,378,157
g361031591054,405,71,200,11
g361031591061,225,190,176,100
g361031591062,304,183,286,134
g361031591063,292,82,139,21
g361031591071,254,11,136,20
g361031591072,275,11,74,11
g361031591073,332,11,59,17
g361031591081,320,25,317,92
g361031591082,385,77,719,11
g361031591083,437,25,42,11
g361031591084,221,230,189,11
g361031591085,384,11,267,193
g361031592011,285,11,231,11
g361031592012,310,36,471,11
g361031592031,279,55,108,11
g361031592032,508,208,11,11
g361031592033,427,29,129,23
g361031592041,133,72,146,11
g361031592042,186,33,173,11
g361031592043,434,20,37,11
g361031592044,198,19,24,11
g361031593001,116,11,30,8
g361031593002,142,22,25,43
g361031594041,386,184,81,146
g361031594042,250,100,51,30
g361031594043,424,134,894,107
g361031594044,401,239,364,11
g361031594045,211,31,463,448
g361031594061,285,35,28,84
g361031594062,236,72,149,11
g361031594063,291,11,278,19
g361031594071,304,145,406,199
g361031594072,226,55,205,164
g361031594073,401,17,135,76
g361031594081,315,235,222,128
g361031594082,215,90,151,62
g361031594101,542,11,11,11
g361031594102,317,202,26,11
g361031594103,752,111,281,80
g361031594111,308,178,115,11
g361031594112,272,11,98,80
g361031594121,332,14,11,11
g361031594122,499,11,29,18
g361031594123,585,94,196,20
g361031594124,401,69,63,11
g361031595051,433,11,323,11
g361031595052,375,610,11,11
g361031595053,364,26,165,117
g361031595054,362,67,440,91
g361031595055,359,153,642,11
g361031595061,311,268,514,11
g361031595062,455,439,205,11
g361031595063,277,229,204,415
g361031595064,510,148,183,221
g361031595081,436,239,262,11
g361031595082,330,11,330,11
g361031595083,464,23,438,11
g361031595084,419,320,445,2
g361031595091,217,15,90,11
g361031595092,301,11,24,58
g361031595093,249,244,161,11
g361031595101,49,14,45,10
g361031595102,6,11,11,5
g361031595111,537,47,416,11
g361031595112,420,24,157,83
g361031595113,354,305,103,91
g361031595114,527,143,186,11
g361031595121,293,446,127,11
g361031596011,464,23,11,11
g361031596012,155,11,19,34
g361031596013,384,11,112,20
g361031596014,431,24,11,11
g361031596015,516,14,32,11
g361031596021,411,70,57,11
g361031596022,440,15,119,27
g361031697011,356,49,72,11
g361031697012,418,14,66,11
g361031697013,465,73,350,61
g361031697014,373,11,94,11
g361031697015,451,11,73,11
g361031697031,183,19,15,27
g361031697041,156,11,163,11
g361031697042,444,11,11,70
g361031697043,349,130,500,61
g361031697044,249,11,11,11
g361031697045,150,103,59,11
g361031697046,321,60,11,60
g361031698001,304,89,529,11
g361031698002,200,265,330,22
g361031698003,183,16,654,17
g361031698004,253,185,452,11
g361031699011,626,130,325,11
g361031699012,473,693,167,321
g361031699021,555,11,195,11
g361031699022,505,52,350,11
g361031699023,493,11,11,11
g361031699024,135,21,11,11
g361031699025,478,189,321,11
g361031700011,438,11,11,11
g361031700012,377,125,25,31
g361031700013,218,11,180,11
g361031700014,235,6,6,26
g361031700015,389,11,48,11
g361031700021,149,11,11,11
g361031700022,250,29,50,11
g361031700023,243,11,11,11
g361031700024,365,165,15,11
g361031700025,181,11,40,83
g361031701011,169,69,141,11
g361031701012,181,108,297,2
g361031702011,361,11,11,38
g361031702012,362,11,11,11
g361031702013,247,11,93,11
g361031702014,280,11,11,11
g361031702015,180,11,11,19
g361031702016,439,11,55,11
g361031702017,217,11,11,11
g361031702021,200,11,152,11
g361031702022,120,11,11,11
g361031702023,163,11,52,6
g361031702024,128,6,24,3
g361031702025,198,29,24,11
g361031803001,344,3,11,7
g361031803002,283,11,196,11
g361031904011,339,253,176,11
g361031904012,109,168,278,18
g361031904013,153,73,214,11
g361031904014,264,283,122,11
g361031904015,236,335,306,11
g361031904016,350,57,136,114
g361031904017,353,197,878,164
g361031904021,207,46,265,81
g361031904022,203,12,134,11
g361031904031,188,11,269,19
g361031904032,158,19,255,17
g361031904033,252,11,616,11
g361031905021,199,11,101,11
g361031905022,156,30,73,5
g361031905023,140,11,24,21
g361031905031,202,11,106,20
g361031905032,191,53,231,162
g361031905033,205,11,49,11
g361031905034,146,11,35,11
g361031905041,188,11,7,11
g361031905042,158,2,3,11
g361031905043,212,11,11,16
g361031906011,141,58,17,21
g361031906012,323,11,18,11
g361031906013,276,11,30,11
g361031906014,293,11,115,23
g361031906015,208,11,11,11
g361031906016,149,11,5,11
g361031906031,187,11,324,11
g361031906032,301,170,475,11
g361031906033,239,11,336,14
g361031906041,343,11,179,37
g361031906042,276,31,369,11
g361031906043,152,11,170,64
g361031907041,395,11,296,62
g361031907042,101,17,86,11
g361031907043,113,18,11,11
g361031907044,125,13,124,15
g361031907045,240,11,42,11
g361031907051,9,10,11,16
g361031907052,256,11,252,102
g361031907053,107,21,48,11
g361031907054,324,11,137,11
g361031907055,185,21,235,50
g361031907061,211,11,30,54
g361031907062,302,16,160,47
g361031907063,194,11,39,47
g361031907064,155,11,121,11
g361031907065,249,247,104,43
g361031907071,301,11,74,28
g361031907072,177,11,588,49
g361031907073,153,11,82,70
g361031907074,275,11,72,213
g361031907075,262,11,11,9
g361031907081,160,11,13,7
g361031907082,167,40,219,31
g361031908001,222,261,2,11
g361031908002,208,298,84,35
g361031908003,200,4,72,11
g361031908004,183,35,57,76
g361032009011,128,11,98,11
g361032009012,103,11,11,8
g361032009021,341,89,254,36
g361032009022,220,11,107,11
g361032009023,329,11,351,11
g361032009024,200,11,229,11
g361032009025,196,5,76,5
g361032009026,467,11,119,452
g361032009027,204,140,128,11
g361032010011,293,11,242,11
g361032010012,289,27,92,11
g361032010013,229,17,300,11
g361032010014,281,60,11,11
g361032010015,364,95,531,11
g361032010031,149,157,553,11
g361032010032,264,23,11,11
g361032010033,109,11,11,11
g361032010034,212,23,85,11
g361032010035,172,25,210,11
g361032010041,96,25,11,11
g361032010042,205,27,105,58
g361032010043,235,15,15,14
g361032010044,214,55,42,36
g361032010045,303,26,51,11
g361032010046,258,17,11,11
g361032011001,152,123,782,69
g361032011002,223,206,406,49
g361032011003,158,130,51,11
g361032011004,90,188,627,281
g361039901000,11,11,11,11
