GEOID,B25004_001E,B25004_006E
g361031101011,43,16
g361031101012,50,21
g361031101021,27,0
g361031101022,34,0
g361031101023,13,0
g361031101024,0,0
g361031102001,15,15
g361031102002,97,0
g361031102003,15,0
g361031102004,0,0
g361031102005,43,0
g361031103001,10,0
g361031103002,0,0
g361031103003,22,12
g361031103004,16,0
g361031103005,6,0
g361031104011,6,0
g361031104012,16,16
g361031104021,0,0
g361031104022,64,29
g361031105011,60,60
g361031105012,24,24
g361031105021,58,10
g361031105022,0,0
g361031106001,17,17
g361031106002,44,0
g361031106003,49,0
g361031106004,74,34
g361031106005,60,0
g361031108011,53,42
g361031108012,57,20
g361031108031,42,0
g361031108032,29,29
g361031108033,29,0
g361031108034,48,0
g361031109011,29,29
g361031109012,27,0
g361031109013,0,0
g361031109021,24,0
g361031109022,77,0
g361031109023,23,0
g361031110011,11,0
g361031110012,0,0
g361031110021,0,0
g361031110022,49,6
g361031110023,0,0
g361031110024,0,0
g361031111001,0,0
g361031111002,20,0
g361031111003,0,0
g361031111004,0,0
g361031111005,0,0
g361031112011,69,0
g361031112012,8,0
g361031112013,0,0
g361031112021,101,0
g361031112022,55,0
g361031112023,0,0
g361031113001,66,25
g361031113002,0,0
g361031113003,0,0
g361031114011,35,0
g361031114021,0,0
g361031114022,9,0
g361031114023,0,0
g361031114024,35,0
g361031115031,0,0
g361031115032,37,0
g361031115033,63,0
g361031115041,0,0
g361031115051,7,0
g361031115052,20,0
g361031115053,10,0
g361031115054,32,0
g361031115061,0,0
g361031115062,0,0
g361031116011,23,0
g361031116012,46,0
g361031116021,27,0
g361031116022,26,0
g361031117011,0,0
g361031117012,30,0
g361031117013,0,0
g361031117014,0,0
g361031117015,7,0
g361031117031,0,0
g361031117032,24,0
g361031117041,0,0
g361031117042,0,0
g361031117043,20,0
g361031118011,38,0
g361031118012,30,0
g361031118013,5,0
g361031118014,0,0
g361031118021,19,0
g361031118022,35,0
g361031118031,0,0
g361031118032,0,0
g361031118041,0,0
g361031119001,0,0
g361031119002,54,0
g361031119003,0,0
g361031119004,9,9
g361031119005,33,0
g361031120011,0,0
g361031120012,53,0
g361031120021,57,26
g361031120022,0,0
g361031120023,53,0
g361031121021,0,0
g361031121022,24,0
g361031121031,0,0
g361031121032,29,0
g361031121033,51,25
g361031121041,24,0
g361031122041,0,0
g361031122042,0,0
g361031122043,0,0
g361031122061,45,0
g361031122062,0,0
g361031122063,0,0
g361031122064,53,0
g361031122101,0,0
g361031122102,38,0
g361031122103,40,0
g361031122104,17,0
g361031122111,25,25
g361031122112,7,0
g361031122113,24,0
g361031122121,7,0
g361031122122,0,0
g361031122131,0,0
g361031122132,26,0
g361031122133,0,0
g361031122141,38,0
g361031122142,0,0
g361031122143,73,37
g361031122144,0,0
g361031223001,0,0
g361031223002,0,0
g361031224031,16,0
g361031224032,45,0
g361031224041,15,0
g361031224042,0,0
g361031224051,30,0
g361031224052,7,0
g361031224061,30,0
g361031224062,33,0
g361031224063,66,0
g361031225011,17,0
g361031225012,75,0
g361031225013,0,0
g361031225021,23,0
g361031225022,19,0
g361031225023,0,0
g361031226011,77,0
g361031226012,54,0
g361031226013,0,0
g361031226021,0,0
g361031226022,9,0
g361031226031,54,0
g361031226032,7,0
g361031226033,0,0
g361031226034,0,0
g361031227041,24,0
g361031227042,0,0
g361031227051,32,9
g361031227052,11,0
g361031227061,22,0
g361031227062,0,0
g361031227063,38,0
g361031227071,0,0
g361031227072,0,0
g361031228011,0,0
g361031228012,0,0
g361031228013,0,0
g361031228014,28,0
g361031228021,38,0
g361031228022,39,0
g361031229011,0,0
g361031229012,37,0
g361031229013,0,0
g361031229014,40,0
g361031229021,26,0
g361031229022,0,0
g361031229023,23,0
g361031230011,0,0
g361031230012,0,0
g361031230013,19,0
g361031230014,30,0
g361031230021,35,9
g361031230022,19,0
g361031230023,32,0
g361031231011,0,0
g361031231012,24,0
g361031231013,45,0
g361031231021,28,0
g361031231022,30,0
g361031231023,0,0
g361031232011,68,0
g361031232021,53,0
g361031232022,59,0
g361031232023,29,0
g361031232024,42,0
g361031233011,34,0
g361031233012,38,0
g361031233013,38,0
g361031233014,30,0
g361031233015,41,0
g361031233016,32,0
g361031233021,110,0
g361031234011,53,0
g361031234012,28,0
g361031234013,0,0
g361031234021,0,0
g361031234022,16,0
g361031234023,17,0
g361031234024,0,0
g361031234025,48,0
g361031235001,66,0
g361031235002,81,0
g361031235003,142,0
g361031235004,26,0
g361031236001,129,0
g361031236002,8,0
g361031236003,35,0
g361031237011,46,0
g361031237012,0,0
g361031237013,17,0
g361031237014,0,0
g361031237021,0,0
g361031237022,58,0
g361031237023,14,0
g361031237024,14,0
g361031238011,58,0
g361031238012,26,0
g361031238013,160,8
g361031238021,29,0
g361031238022,0,0
g361031239001,10,0
g361031239002,39,9
g361031239003,0,0
g361031239004,37,0
g361031239005,37,0
g361031240011,52,0
g361031240012,35,0
g361031240013,56,0
g361031240021,34,0
g361031240022,0,0
g361031241011,61,0
g361031241012,0,0
g361031241013,24,0
g361031241021,123,0
g361031241022,89,0
g361031242001,0,0
g361031242002,96,0
g361031242003,45,0
g361031242004,0,0
g361031242005,129,0
g361031243001,0,0
g361031243002,0,0
g361031243003,0,0
g361031243004,0,0
g361031243005,46,0
g361031244011,57,0
g361031244012,60,0
g361031244013,8,0
g361031244021,0,0
g361031244022,40,0
g361031244023,113,85
g361031245001,0,0
g361031245002,0,0
g361031245003,0,0
g361031245004,0,0
g361031246011,20,0
g361031246012,7,0
g361031246013,22,0
g361031246021,0,0
g361031246022,60,0
g361031246023,66,0
g361031246024,0,0
g361031347021,46,46
g361031347022,0,0
g361031347023,63,48
g361031347024,0,0
g361031347031,10,10
g361031347032,8,0
g361031347033,0,0
g361031347034,0,0
g361031347041,14,14
g361031347042,80,22
g361031349021,28,0
g361031349022,0,0
g361031349023,42,8
g361031349031,0,0
g361031349041,0,0
g361031349042,12,0
g361031349043,48,0
g361031349044,42,0
g361031349061,40,0
g361031349062,0,0
g361031349063,0,0
g361031349064,4,0
g361031349071,0,0
g361031349072,0,0
g361031350021,0,0
g361031350022,10,10
g361031350023,0,0
g361031350031,15,0
g361031350032,22,0
g361031350033,40,0
g361031350041,78,11
g361031350042,21,18
g361031350043,17,13
g361031350051,74,0
g361031350052,24,17
g361031350053,21,0
g361031351011,0,0
g361031351012,0,0
g361031351021,0,0
g361031351022,18,0
g361031351023,0,0
g361031351031,0,0
g361031351032,0,0
g361031351033,23,0
g361031351041,0,0
g361031351042,31,0
g361031351043,0,0
g361031352011,17,0
g361031352041,0,0
g361031352042,20,0
g361031352043,0,0
g361031352051,0,0
g361031352052,0,0
g361031352053,0,0
g361031352081,44,0
g361031352082,0,0
g361031352091,60,24
g361031352092,0,0
g361031353011,23,0
g361031353012,0,0
g361031353013,0,0
g361031353031,8,0
g361031353032,0,0
g361031353041,68,0
g361031353042,0,0
g361031354011,54,0
g361031354012,59,13
g361031354013,32,15
g361031354021,0,0
g361031354022,0,0
g361031354023,0,0
g361031354024,12,0
g361031354031,0,0
g361031354032,10,0
g361031354033,60,0
g361031456021,0,0
g361031456022,70,0
g361031456023,0,0
g361031456031,98,43
g361031456032,15,0
g361031456033,53,0
g361031456041,96,0
g361031456042,40,0
g361031456051,16,0
g361031456052,45,5
g361031457011,23,0
g361031457012,12,0
g361031457013,25,0
g361031457014,26,26
g361031457021,34,0
g361031457022,67,0
g361031457023,10,0
g361031457031,29,29
g361031457032,63,0
g361031457033,31,7
g361031457041,0,0
g361031457042,87,0
g361031457043,48,0
g361031457044,0,0
g361031458031,26,0
g361031458032,21,0
g361031458033,32,0
g361031458041,39,0
g361031458042,39,0
g361031458051,69,0
g361031458052,0,0
g361031458053,0,0
g361031458054,0,0
g361031458071,13,0
g361031458072,39,0
g361031458081,26,26
g361031458082,0,0
g361031459011,7,0
g361031459012,22,0
g361031459021,33,0
g361031459022,0,0
g361031459023,35,0
g361031459024,34,0
g361031459031,0,0
g361031459032,33,0
g361031459033,0,0
g361031459034,0,0
g361031460011,0,0
g361031460012,34,0
g361031460021,12,0
g361031460022,38,0
g361031460023,84,0
g361031460031,0,0
g361031460032,17,0
g361031460033,47,16
g361031460034,16,0
g361031461021,35,0
g361031461031,32,0
g361031461032,19,0
g361031461051,22,0
g361031461052,77,0
g361031461053,0,0
g361031461061,64,0
g361031461062,13,0
g361031462011,24,0
g361031462012,21,0
g361031462021,38,0
g361031462022,11,0
g361031462031,60,0
g361031462032,27,0
g361031462033,40,14
g361031462041,30,0
g361031462042,19,0
g361031462043,0,0
g361031462051,49,10
g361031462052,7,0
g361031462061,0,0
g361031462062,19,0
g361031463001,0,0
g361031463002,31,0
g361031464021,71,0
g361031464022,32,0
g361031464023,0,0
g361031464031,50,15
g361031464032,61,0
g361031464033,0,0
g361031464041,57,0
g361031464042,0,0
g361031465001,50,0
g361031465002,53,0
g361031465003,26,0
g361031465004,0,0
g361031466041,21,0
g361031466042,21,0
g361031466043,47,23
g361031466051,13,0
g361031466061,0,0
g361031466062,0,0
g361031466063,30,0
g361031466064,14,0
g361031466071,18,0
g361031466072,26,0
g361031466081,39,0
g361031466082,30,0
g361031466111,17,0
g361031466112,0,0
g361031466121,0,0
g361031466122,25,0
g361031466123,0,0
g361031466131,0,0
g361031466132,0,0
g361031466141,97,50
g361031466142,0,0
g361031466143,0,0
g361031466151,0,0
g361031466152,34,0
g361031466153,36,0
g361031467031,44,0
g361031467032,48,0
g361031467041,12,0
g361031467051,15,0
g361031467052,0,0
g361031467061,0,0
g361031467062,4,0
g361031468001,9,0
g361031468002,25,0
g361031468003,49,0
g361031468004,0,0
g361031469011,0,0
g361031469012,0,0
g361031469013,0,0
g361031469014,0,0
g361031469021,39,0
g361031469022,42,25
g361031469023,14,8
g361031470011,19,0
g361031470012,0,0
g361031470013,0,0
g361031470031,58,0
g361031470032,47,0
g361031470033,37,0
g361031470041,2235,2217
g361031471001,5,5
g361031471002,0,0
g361031471003,0,0
g361031472001,14,0
g361031472002,34,0
g361031472003,83,0
g361031472004,34,0
g361031472005,65,0
g361031473001,34,0
g361031473002,0,0
g361031473003,0,0
g361031473004,0,0
g361031473005,0,0
g361031473006,12,0
g361031474011,0,0
g361031474012,93,0
g361031474013,36,0
g361031474014,13,0
g361031474021,31,0
g361031474022,20,0
g361031474023,28,0
g361031475011,36,0
g361031475012,92,0
g361031475013,0,0
g361031475014,0,0
g361031475015,0,0
g361031475016,112,38
g361031475021,37,0
g361031475022,0,0
g361031475023,26,0
g361031475024,0,0
g361031475025,0,0
g361031475031,0,0
g361031476011,40,0
g361031476012,57,16
g361031476021,155,46
g361031476022,40,29
g361031476023,0,0
g361031476024,0,0
g361031477011,7,0
g361031477012,35,0
g361031477021,23,0
g361031477022,393,351
g361031477023,21,0
g361031477024,24,24
g361031478021,0,0
g361031478022,16,0
g361031478023,21,0
g361031478031,63,0
g361031478032,0,0
g361031478041,0,0
g361031478042,0,0
g361031478043,0,0
g361031478044,0,0
g361031479011,24,0
g361031479012,139,0
g361031479013,56,0
g361031479021,0,0
g361031479022,25,8
g361031479023,21,0
g361031479024,21,0
g361031580011,60,12
g361031580012,29,11
g361031580013,75,0
g361031580014,38,38
g361031580015,0,0
g361031580021,12,0
g361031580022,88,88
g361031580023,0,0
g361031580024,12,12
g361031580025,0,0
g361031580026,49,17
g361031580061,28,0
g361031580062,0,0
g361031580063,62,0
g361031580064,0,0
g361031580071,0,0
g361031580072,0,0
g361031580073,0,0
g361031580074,0,0
g361031580091,5,0
g361031580092,0,0
g361031580101,61,0
g361031580102,0,0
g361031580103,0,0
g361031580111,47,36
g361031580112,0,0
g361031580113,46,46
g361031581021,51,0
g361031581022,25,0
g361031581031,47,0
g361031581032,0,0
g361031581041,33,0
g361031581042,0,0
g361031581043,0,0
g361031581071,7,7
g361031581072,29,0
g361031581081,56,0
g361031581101,39,0
g361031581102,71,0
g361031581111,29,0
g361031581112,15,0
g361031581121,28,0
g361031581122,51,27
g361031581141,119,93
g361031581151,165,0
g361031581152,0,0
g361031581153,0,0
g361031581161,30,13
g361031581162,26,14
g361031582021,10,10
g361031582022,35,0
g361031582023,41,12
g361031582024,24,0
g361031582025,37,0
g361031582031,16,7
g361031582051,21,0
g361031582052,0,0
g361031582061,39,0
g361031582062,38,8
g361031582063,42,0
g361031582071,31,17
g361031582072,33,0
g361031582073,51,0
g361031582074,0,0
g361031583041,40,0
g361031583042,0,0
g361031583043,30,0
g361031583044,0,0
g361031583061,0,0
g361031583062,0,0
g361031583063,18,0
g361031583081,0,0
g361031583082,37,0
g361031583083,42,0
g361031583084,109,46
g361031583091,0,0
g361031583092,37,0
g361031583101,45,26
g361031583102,37,0
g361031583151,45,0
g361031583152,27,0
g361031583171,132,84
g361031583172,227,133
g361031583173,46,0
g361031583181,28,0
g361031583182,52,0
g361031583183,21,6
g361031583191,23,0
g361031583192,0,0
g361031583193,26,0
g361031583201,49,0
g361031583202,83,37
g361031583203,56,56
g361031583204,0,0
g361031583211,150,45
g361031583212,0,0
g361031583213,47,47
g361031583214,137,60
g361031583221,13,0
g361031583231,0,0
g361031583232,120,29
g361031583233,0,0
g361031583234,41,0
g361031584011,34,0
g361031584021,0,0
g361031584022,39,32
g361031584023,30,0
g361031584031,0,0
g361031584032,63,0
g361031584051,169,68
g361031584052,21,0
g361031584053,0,0
g361031584071,113,50
g361031584072,45,12
g361031584073,167,35
g361031584074,94,0
g361031584081,95,60
g361031584082,56,31
g361031584091,100,0
g361031584092,76,20
g361031584093,98,0
g361031584101,9,0
g361031584102,176,86
g361031584103,134,0
g361031585021,26,0
g361031585022,0,0
g361031585023,9,0
g361031585051,63,0
g361031585052,15,0
g361031585053,0,0
g361031585061,48,29
g361031585062,0,0
g361031585071,0,0
g361031585072,62,0
g361031585073,26,0
g361031585081,42,0
g361031585082,32,0
g361031585083,0,0
g361031585084,11,11
g361031585085,0,0
g361031585091,80,0
g361031585092,71,27
g361031585093,30,0
g361031585101,0,0
g361031585102,0,0
g361031585103,59,0
g361031585104,0,0
g361031585111,0,0
g361031585112,17,0
g361031585113,25,0
g361031585121,11,0
g361031585122,33,33
g361031586041,22,0
g361031586042,50,0
g361031586043,25,25
g361031586051,0,0
g361031586052,0,0
g361031586061,0,0
g361031586062,83,0
g361031586063,30,18
g361031586071,105,0
g361031586072,63,0
g361031586081,46,0
g361031586082,23,0
g361031586083,23,0
g361031586091,50,0
g361031586092,24,0
g361031586093,0,0
g361031587041,49,0
g361031587042,0,0
g361031587043,51,0
g361031587044,50,0
g361031587045,0,0
g361031587051,0,0
g361031587052,38,0
g361031587053,25,0
g361031587071,23,18
g361031587081,32,0
g361031587082,91,0
g361031587083,0,0
g361031587091,61,26
g361031587101,72,0
g361031587102,0,0
g361031587103,0,0
g361031587104,127,49
g361031587111,35,0
g361031587112,41,0
g361031587113,70,0
g361031587121,0,0
g361031587122,13,0
g361031587123,82,0
g361031587124,16,0
g361031587125,78,0
g361031588021,0,0
g361031588022,30,0
g361031588023,36,0
g361031588031,0,0
g361031588032,0,0
g361031588033,0,0
g361031588034,0,0
g361031588041,0,0
g361031588042,0,0
g361031588043,0,0
g361031588044,0,0
g361031588045,28,0
g361031588046,73,0
g361031589001,0,0
g361031589002,28,0
g361031589003,13,0
g361031589004,83,0
g361031589005,80,0
g361031590001,52,0
g361031590002,17,0
g361031590003,76,0
g361031591021,0,0
g361031591022,43,0
g361031591023,0,0
g361031591024,0,0
g361031591025,0,0
g361031591031,23,0
g361031591032,83,0
g361031591033,25,0
g361031591034,0,0
g361031591051,39,0
g361031591052,36,0
g361031591053,0,0
g361031591054,41,0
g361031591061,0,0
g361031591062,167,0
g361031591063,0,0
g361031591071,44,0
g361031591072,20,0
g361031591073,0,0
g361031591081,0,0
g361031591082,57,0
g361031591083,0,0
g361031591084,33,0
g361031591085,0,0
g361031592011,0,0
g361031592012,43,0
g361031592031,0,0
g361031592032,27,13
g361031592033,86,0
g361031592041,20,0
g361031592042,26,0
g361031592043,74,27
g361031592044,80,19
g361031593001,131,101
g361031593002,74,37
g361031594041,17,0
g361031594042,0,0
g361031594043,48,0
g361031594044,56,0
g361031594045,0,0
g361031594061,48,10
g361031594062,27,7
g361031594063,64,20
g361031594071,27,0
g361031594072,21,0
g361031594073,57,0
g361031594081,76,28
g361031594082,0,0
g361031594101,0,0
g361031594102,0,0
g361031594103,15,15
g361031594111,4,0
g361031594112,0,0
g361031594121,0,0
g361031594122,0,0
g361031594123,161,0
g361031594124,161,0
g361031595051,108,43
g361031595052,47,11
g361031595053,89,0
g361031595054,38,0
g361031595055,0,0
g361031595061,59,0
g361031595062,209,61
g361031595063,0,0
g361031595064,82,0
g361031595081,55,55
g361031595082,42,0
g361031595083,144,87
g361031595084,41,0
g361031595091,198,113
g361031595092,177,27
g361031595093,0,0
g361031595101,1568,1515
g361031595102,317,313
g361031595111,65,0
g361031595112,9,0
g361031595113,0,0
g361031595114,35,0
g361031595121,31,29
g361031596011,72,0
g361031596012,53,0
g361031596013,43,0
g361031596014,35,35
g361031596015,34,34
g361031596021,76,67
g361031596022,191,137
g361031697011,103,71
g361031697012,86,86
g361031697013,78,45
g361031697014,66,0
g361031697015,0,0
g361031697031,536,487
g361031697041,124,20
g361031697042,43,43
g361031697043,0,0
g361031697044,62,0
g361031697045,45,0
g361031697046,56,0
g361031698001,24,0
g361031698002,0,0
g361031698003,118,30
g361031698004,0,0
g361031699011,0,0
g361031699012,233,169
g361031699021,79,68
g361031699022,32,32
g361031699023,481,462
g361031699024,308,218
g361031699025,142,102
g361031700011,276,162
g361031700012,268,268
g361031700013,141,141
g361031700014,0,0
g361031700015,313,264
g361031700021,256,235
g361031700022,289,279
g361031700023,400,400
g361031700024,61,9
g361031700025,269,220
g361031701011,135,47
g361031701012,190,141
g361031702011,483,364
g361031702012,237,237
g361031702013,0,0
g361031702014,328,244
g361031702015,204,155
g361031702016,145,113
g361031702017,99,65
g361031702021,314,256
g361031702022,623,591
g361031702023,599,520
g361031702024,481,432
g361031702025,420,360
g361031803001,1129,1064
g361031803002,737,635
g361031904011,47,47
g361031904012,49,49
g361031904013,92,0
g361031904014,0,0
g361031904015,0,0
g361031904016,226,132
g361031904017,45,26
g361031904021,190,119
g361031904022,340,273
g361031904031,161,128
g361031904032,148,124
g361031904033,241,170
g361031905021,351,283
g361031905022,239,171
g361031905023,1341,1286
g361031905031,0,0
g361031905032,72,47
g361031905033,235,214
g361031905034,460,441
g361031905041,737,670
g361031905042,223,203
g361031905043,117,117
g361031906011,572,535
g361031906012,179,145
g361031906013,253,238
g361031906014,47,47
g361031906015,242,175
g361031906016,683,664
g361031906031,327,290
g361031906032,240,203
g361031906033,511,486
g361031906041,226,195
g361031906042,350,313
g361031906043,386,278
g361031907041,263,263
g361031907042,1066,1045
g361031907043,528,508
g361031907044,489,432
g361031907045,632,558
g361031907051,41,4
g361031907052,406,329
g361031907053,437,406
g361031907054,437,365
g361031907055,146,111
g361031907061,536,422
g361031907062,323,290
g361031907063,163,163
g361031907064,193,164
g361031907065,207,117
g361031907071,769,743
g361031907072,469,428
g361031907073,217,217
g361031907074,498,461
g361031907075,234,234
g361031907081,388,356
g361031907082,616,601
g361031908001,340,288
g361031908002,304,304
g361031908003,564,514
g361031908004,607,573
g361032009011,284,227
g361032009012,1020,940
g361032009021,882,837
g361032009022,368,368
g361032009023,241,241
g361032009024,258,173
g361032009025,684,640
g361032009026,475,429
g361032009027,512,448
g361032010011,598,581
g361032010012,307,228
g361032010013,431,431
g361032010014,599,551
g361032010015,334,269
g361032010031,73,73
g361032010032,353,353
g361032010033,545,532
g361032010034,987,984
g361032010035,406,353
g361032010041,163,163
g361032010042,459,437
g361032010043,492,408
g361032010044,322,322
g361032010045,565,521
g361032010046,859,787
g361032011001,19,0
g361032011002,2,0
g361032011003,0,0
g361032011004,17,0
g361039901000,0,0
